time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
0.000000,0.0000004538,0.0000000137,0.0000000055,10,5,1,gamma_rtd
0.050000,0.0000004836,0.0000000146,0.0000000059,10,5,1,gamma_rtd
0.100000,0.0000005153,0.0000000156,0.0000000064,10,5,1,gamma_rtd
0.150000,0.0000005490,0.0000000167,0.0000000068,10,5,1,gamma_rtd
0.200000,0.0000005848,0.0000000179,0.0000000073,10,5,1,gamma_rtd
0.250000,0.0000006228,0.0000000191,0.0000000078,10,5,1,gamma_rtd
0.300000,0.0000006632,0.0000000205,0.0000000084,10,5,1,gamma_rtd
0.350000,0.0000007061,0.0000000219,0.0000000090,10,5,1,gamma_rtd
0.400000,0.0000007518,0.0000000234,0.0000000096,10,5,1,gamma_rtd
0.450000,0.0000008002,0.0000000250,0.0000000103,10,5,1,gamma_rtd
0.500000,0.0000008517,0.0000000267,0.0000000110,10,5,1,gamma_rtd
0.550000,0.0000009063,0.0000000286,0.0000000117,10,5,1,gamma_rtd
0.600000,0.0000009643,0.0000000305,0.0000000126,10,5,1,gamma_rtd
0.650000,0.0000010259,0.0000000326,0.0000000134,10,5,1,gamma_rtd
0.700000,0.0000010913,0.0000000348,0.0000000144,10,5,1,gamma_rtd
0.750000,0.0000011607,0.0000000372,0.0000000154,10,5,1,gamma_rtd
0.800000,0.0000012343,0.0000000397,0.0000000164,10,5,1,gamma_rtd
0.850000,0.0000013124,0.0000000424,0.0000000176,10,5,1,gamma_rtd
0.900000,0.0000013952,0.0000000453,0.0000000188,10,5,1,gamma_rtd
0.950000,0.0000014831,0.0000000484,0.0000000201,10,5,1,gamma_rtd
1.000000,0.0000015763,0.0000000516,0.0000000215,10,5,1,gamma_rtd
1.050000,0.0000016751,0.0000000551,0.0000000229,10,5,1,gamma_rtd
1.100000,0.0000017798,0.0000000588,0.0000000245,10,5,1,gamma_rtd
1.150000,0.0000018909,0.0000000627,0.0000000262,10,5,1,gamma_rtd
1.200000,0.0000020086,0.0000000669,0.0000000280,10,5,1,gamma_rtd
1.250000,0.0000021333,0.0000000714,0.0000000299,10,5,1,gamma_rtd
1.300000,0.0000022655,0.0000000762,0.0000000319,10,5,1,gamma_rtd
1.350000,0.0000024055,0.0000000812,0.0000000340,10,5,1,gamma_rtd
1.400000,0.0000025538,0.0000000866,0.0000000363,10,5,1,gamma_rtd
1.450000,0.0000027108,0.0000000923,0.0000000388,10,5,1,gamma_rtd
1.500000,0.0000028772,0.0000000984,0.0000000414,10,5,1,gamma_rtd
1.550000,0.0000030533,0.0000001049,0.0000000442,10,5,1,gamma_rtd
1.600000,0.0000032397,0.0000001118,0.0000000472,10,5,1,gamma_rtd
1.650000,0.0000034371,0.0000001191,0.0000000503,10,5,1,gamma_rtd
1.700000,0.0000036460,0.0000001269,0.0000000537,10,5,1,gamma_rtd
1.750000,0.0000038670,0.0000001352,0.0000000572,10,5,1,gamma_rtd
1.800000,0.0000041009,0.0000001440,0.0000000610,10,5,1,gamma_rtd
1.850000,0.0000043483,0.0000001534,0.0000000651,10,5,1,gamma_rtd
1.900000,0.0000046100,0.0000001633,0.0000000694,10,5,1,gamma_rtd
1.950000,0.0000048867,0.0000001739,0.0000000740,10,5,1,gamma_rtd
2.000000,0.0000051794,0.0000001851,0.0000000788,10,5,1,gamma_rtd
2.050000,0.0000054888,0.0000001971,0.0000000840,10,5,1,gamma_rtd
2.100000,0.0000058159,0.0000002098,0.0000000895,10,5,1,gamma_rtd
2.150000,0.0000061617,0.0000002232,0.0000000954,10,5,1,gamma_rtd
2.200000,0.0000065271,0.0000002375,0.0000001016,10,5,1,gamma_rtd
2.250000,0.0000069132,0.0000002527,0.0000001083,10,5,1,gamma_rtd
2.300000,0.0000073211,0.0000002688,0.0000001153,10,5,1,gamma_rtd
2.350000,0.0000077520,0.0000002859,0.0000001228,10,5,1,gamma_rtd
2.400000,0.0000082072,0.0000003040,0.0000001308,10,5,1,gamma_rtd
2.450000,0.0000086879,0.0000003233,0.0000001392,10,5,1,gamma_rtd
2.500000,0.0000091954,0.0000003437,0.0000001482,10,5,1,gamma_rtd
2.550000,0.0000097312,0.0000003654,0.0000001577,10,5,1,gamma_rtd
2.600000,0.0000102969,0.0000003884,0.0000001678,10,5,1,gamma_rtd
2.650000,0.0000108939,0.0000004127,0.0000001786,10,5,1,gamma_rtd
2.700000,0.0000115239,0.0000004386,0.0000001900,10,5,1,gamma_rtd
2.750000,0.0000121887,0.0000004660,0.0000002021,10,5,1,gamma_rtd
2.800000,0.0000128901,0.0000004950,0.0000002150,10,5,1,gamma_rtd
2.850000,0.0000136299,0.0000005258,0.0000002287,10,5,1,gamma_rtd
2.900000,0.0000144101,0.0000005584,0.0000002432,10,5,1,gamma_rtd
2.950000,0.0000152329,0.0000005930,0.0000002585,10,5,1,gamma_rtd
3.000000,0.0000161005,0.0000006296,0.0000002748,10,5,1,gamma_rtd
3.050000,0.0000170151,0.0000006685,0.0000002921,10,5,1,gamma_rtd
3.100000,0.0000179792,0.0000007096,0.0000003105,10,5,1,gamma_rtd
3.150000,0.0000189953,0.0000007531,0.0000003300,10,5,1,gamma_rtd
3.200000,0.0000200660,0.0000007992,0.0000003506,10,5,1,gamma_rtd
3.250000,0.0000211942,0.0000008480,0.0000003725,10,5,1,gamma_rtd
3.300000,0.0000223826,0.0000008997,0.0000003957,10,5,1,gamma_rtd
3.350000,0.0000236345,0.0000009544,0.0000004203,10,5,1,gamma_rtd
3.400000,0.0000249528,0.0000010123,0.0000004463,10,5,1,gamma_rtd
3.450000,0.0000263411,0.0000010735,0.0000004739,10,5,1,gamma_rtd
3.500000,0.0000278028,0.0000011383,0.0000005031,10,5,1,gamma_rtd
3.550000,0.0000293414,0.0000012069,0.0000005341,10,5,1,gamma_rtd
3.600000,0.0000309610,0.0000012794,0.0000005669,10,5,1,gamma_rtd
3.650000,0.0000326654,0.0000013562,0.0000006017,10,5,1,gamma_rtd
3.700000,0.0000344589,0.0000014373,0.0000006385,10,5,1,gamma_rtd
3.750000,0.0000363457,0.0000015230,0.0000006774,10,5,1,gamma_rtd
3.800000,0.0000383306,0.0000016137,0.0000007187,10,5,1,gamma_rtd
3.850000,0.0000404183,0.0000017096,0.0000007623,10,5,1,gamma_rtd
3.900000,0.0000426138,0.0000018109,0.0000008085,10,5,1,gamma_rtd
3.950000,0.0000449223,0.0000019179,0.0000008574,10,5,1,gamma_rtd
4.000000,0.0000473494,0.0000020310,0.0000009091,10,5,1,gamma_rtd
4.050000,0.0000499006,0.0000021505,0.0000009639,10,5,1,gamma_rtd
4.100000,0.0000525820,0.0000022768,0.0000010217,10,5,1,gamma_rtd
4.150000,0.0000553998,0.0000024101,0.0000010829,10,5,1,gamma_rtd
4.200000,0.0000583605,0.0000025509,0.0000011477,10,5,1,gamma_rtd
4.250000,0.0000614709,0.0000026996,0.0000012161,10,5,1,gamma_rtd
4.300000,0.0000647381,0.0000028565,0.0000012884,10,5,1,gamma_rtd
4.350000,0.0000681694,0.0000030222,0.0000013649,10,5,1,gamma_rtd
4.400000,0.0000717728,0.0000031971,0.0000014457,10,5,1,gamma_rtd
4.450000,0.0000755561,0.0000033816,0.0000015312,10,5,1,gamma_rtd
4.500000,0.0000795278,0.0000035763,0.0000016214,10,5,1,gamma_rtd
4.550000,0.0000836967,0.0000037818,0.0000017168,10,5,1,gamma_rtd
4.600000,0.0000880719,0.0000039985,0.0000018175,10,5,1,gamma_rtd
4.650000,0.0000926630,0.0000042271,0.0000019238,10,5,1,gamma_rtd
4.700000,0.0000974799,0.0000044681,0.0000020362,10,5,1,gamma_rtd
4.750000,0.0001025329,0.0000047223,0.0000021548,10,5,1,gamma_rtd
4.800000,0.0001078330,0.0000049903,0.0000022800,10,5,1,gamma_rtd
4.850000,0.0001133913,0.0000052728,0.0000024122,10,5,1,gamma_rtd
4.900000,0.0001192195,0.0000055706,0.0000025517,10,5,1,gamma_rtd
4.950000,0.0001253300,0.0000058844,0.0000026989,10,5,1,gamma_rtd
5.000000,0.0001317353,0.0000062150,0.0000028543,10,5,1,gamma_rtd
5.050000,0.0001384489,0.0000065634,0.0000030182,10,5,1,gamma_rtd
5.100000,0.0001454844,0.0000069304,0.0000031911,10,5,1,gamma_rtd
5.150000,0.0001528562,0.0000073170,0.0000033735,10,5,1,gamma_rtd
5.200000,0.0001605793,0.0000077241,0.0000035658,10,5,1,gamma_rtd
5.250000,0.0001686693,0.0000081528,0.0000037686,10,5,1,gamma_rtd
5.300000,0.0001771422,0.0000086041,0.0000039824,10,5,1,gamma_rtd
5.350000,0.0001860149,0.0000090793,0.0000042078,10,5,1,gamma_rtd
5.400000,0.0001953051,0.0000095794,0.0000044454,10,5,1,gamma_rtd
5.450000,0.0002050307,0.0000101058,0.0000046958,10,5,1,gamma_rtd
5.500000,0.0002152108,0.0000106597,0.0000049596,10,5,1,gamma_rtd
5.550000,0.0002258651,0.0000112424,0.0000052376,10,5,1,gamma_rtd
5.600000,0.0002370140,0.0000118555,0.0000055305,10,5,1,gamma_rtd
5.650000,0.0002486786,0.0000125003,0.0000058390,10,5,1,gamma_rtd
5.700000,0.0002608812,0.0000131786,0.0000061638,10,5,1,gamma_rtd
5.750000,0.0002736447,0.0000138917,0.0000065060,10,5,1,gamma_rtd
5.800000,0.0002869927,0.0000146416,0.0000068662,10,5,1,gamma_rtd
5.850000,0.0003009502,0.0000154299,0.0000072454,10,5,1,gamma_rtd
5.900000,0.0003155427,0.0000162585,0.0000076445,10,5,1,gamma_rtd
5.950000,0.0003307968,0.0000171294,0.0000080646,10,5,1,gamma_rtd
6.000000,0.0003467404,0.0000180446,0.0000085067,10,5,1,gamma_rtd
6.050000,0.0003634020,0.0000190061,0.0000089719,10,5,1,gamma_rtd
6.100000,0.0003808114,0.0000200163,0.0000094613,10,5,1,gamma_rtd
6.150000,0.0003989995,0.0000210774,0.0000099761,10,5,1,gamma_rtd
6.200000,0.0004179983,0.0000221919,0.0000105175,10,5,1,gamma_rtd
6.250000,0.0004378411,0.0000233622,0.0000110868,10,5,1,gamma_rtd
6.300000,0.0004585622,0.0000245910,0.0000116855,10,5,1,gamma_rtd
6.350000,0.0004801974,0.0000258811,0.0000123149,10,5,1,gamma_rtd
6.400000,0.0005027837,0.0000272353,0.0000129766,10,5,1,gamma_rtd
6.450000,0.0005263593,0.0000286566,0.0000136720,10,5,1,gamma_rtd
6.500000,0.0005509640,0.0000301482,0.0000144028,10,5,1,gamma_rtd
6.550000,0.0005766388,0.0000317132,0.0000151707,10,5,1,gamma_rtd
6.600000,0.0006034265,0.0000333551,0.0000159775,10,5,1,gamma_rtd
6.650000,0.0006313710,0.0000350774,0.0000168250,10,5,1,gamma_rtd
6.700000,0.0006605180,0.0000368839,0.0000177152,10,5,1,gamma_rtd
6.750000,0.0006909148,0.0000387783,0.0000186500,10,5,1,gamma_rtd
6.800000,0.0007226103,0.0000407647,0.0000196317,10,5,1,gamma_rtd
6.850000,0.0007556550,0.0000428472,0.0000206624,10,5,1,gamma_rtd
6.900000,0.0007901012,0.0000450302,0.0000217443,10,5,1,gamma_rtd
6.950000,0.0008260031,0.0000473183,0.0000228800,10,5,1,gamma_rtd
7.000000,0.0008634167,0.0000497162,0.0000240719,10,5,1,gamma_rtd
7.050000,0.0009023998,0.0000522287,0.0000253226,10,5,1,gamma_rtd
7.100000,0.0009430122,0.0000548611,0.0000266348,10,5,1,gamma_rtd
7.150000,0.0009853158,0.0000576187,0.0000280114,10,5,1,gamma_rtd
7.200000,0.0010293743,0.0000605069,0.0000294554,10,5,1,gamma_rtd
7.250000,0.0010752538,0.0000635317,0.0000309698,10,5,1,gamma_rtd
7.300000,0.0011230225,0.0000666989,0.0000325578,10,5,1,gamma_rtd
7.350000,0.0011727508,0.0000700149,0.0000342229,10,5,1,gamma_rtd
7.400000,0.0012245112,0.0000734863,0.0000359685,10,5,1,gamma_rtd
7.450000,0.0012783788,0.0000771196,0.0000377983,10,5,1,gamma_rtd
7.500000,0.0013344312,0.0000809221,0.0000397160,10,5,1,gamma_rtd
7.550000,0.0013927481,0.0000849010,0.0000417256,10,5,1,gamma_rtd
7.600000,0.0014534120,0.0000890639,0.0000438313,10,5,1,gamma_rtd
7.650000,0.0015165080,0.0000934188,0.0000460373,10,5,1,gamma_rtd
7.700000,0.0015821237,0.0000979738,0.0000483482,10,5,1,gamma_rtd
7.750000,0.0016503497,0.0001027376,0.0000507684,10,5,1,gamma_rtd
7.800000,0.0017212791,0.0001077190,0.0000533030,10,5,1,gamma_rtd
7.850000,0.0017950080,0.0001129273,0.0000559569,10,5,1,gamma_rtd
7.900000,0.0018716355,0.0001183720,0.0000587354,10,5,1,gamma_rtd
7.950000,0.0019512636,0.0001240630,0.0000616439,10,5,1,gamma_rtd
8.000000,0.0020339974,0.0001300107,0.0000646881,10,5,1,gamma_rtd
8.050000,0.0021199452,0.0001362259,0.0000678739,10,5,1,gamma_rtd
8.100000,0.0022092184,0.0001427196,0.0000712075,10,5,1,gamma_rtd
8.150000,0.0023019318,0.0001495035,0.0000746952,10,5,1,gamma_rtd
8.200000,0.0023982036,0.0001565895,0.0000783436,10,5,1,gamma_rtd
8.250000,0.0024981553,0.0001639900,0.0000821597,10,5,1,gamma_rtd
8.300000,0.0026019119,0.0001717180,0.0000861506,10,5,1,gamma_rtd
8.350000,0.0027096022,0.0001797868,0.0000903238,10,5,1,gamma_rtd
8.400000,0.0028213585,0.0001882103,0.0000946870,10,5,1,gamma_rtd
8.450000,0.0029373168,0.0001970029,0.0000992481,10,5,1,gamma_rtd
8.500000,0.0030576170,0.0002061795,0.0001040157,10,5,1,gamma_rtd
8.550000,0.0031824030,0.0002157555,0.0001089983,10,5,1,gamma_rtd
