time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
0.000000,0.0001800545,0.0000664665,0.0000491072,30,5,1,cstr
0.050000,0.0001830119,0.0000675967,0.0000499538,30,5,1,cstr
0.100000,0.0001860149,0.0000687451,0.0000508143,30,5,1,cstr
0.150000,0.0001890644,0.0000699120,0.0000516888,30,5,1,cstr
0.200000,0.0001921609,0.0000710976,0.0000525775,30,5,1,cstr
0.250000,0.0001953051,0.0000723022,0.0000534808,30,5,1,cstr
0.300000,0.0001984976,0.0000735261,0.0000543987,30,5,1,cstr
0.350000,0.0002017393,0.0000747696,0.0000553315,30,5,1,cstr
0.400000,0.0002050307,0.0000760329,0.0000562795,30,5,1,cstr
0.450000,0.0002083726,0.0000773165,0.0000572429,30,5,1,cstr
0.500000,0.0002117658,0.0000786205,0.0000582219,30,5,1,cstr
0.550000,0.0002152108,0.0000799453,0.0000592168,30,5,1,cstr
0.600000,0.0002187086,0.0000812912,0.0000602277,30,5,1,cstr
0.650000,0.0002222597,0.0000826586,0.0000612550,30,5,1,cstr
0.700000,0.0002258651,0.0000840476,0.0000622989,30,5,1,cstr
0.750000,0.0002295254,0.0000854587,0.0000633596,30,5,1,cstr
0.800000,0.0002332414,0.0000868922,0.0000644374,30,5,1,cstr
0.850000,0.0002370140,0.0000883484,0.0000655325,30,5,1,cstr
0.900000,0.0002408438,0.0000898277,0.0000666452,30,5,1,cstr
0.950000,0.0002447317,0.0000913303,0.0000677759,30,5,1,cstr
1.000000,0.0002486786,0.0000928567,0.0000689246,30,5,1,cstr
1.050000,0.0002526853,0.0000944071,0.0000700918,30,5,1,cstr
1.100000,0.0002567525,0.0000959820,0.0000712777,30,5,1,cstr
1.150000,0.0002608812,0.0000975817,0.0000724825,30,5,1,cstr
1.200000,0.0002650722,0.0000992066,0.0000737066,30,5,1,cstr
1.250000,0.0002693264,0.0001008570,0.0000749503,30,5,1,cstr
1.300000,0.0002736447,0.0001025333,0.0000762138,30,5,1,cstr
1.350000,0.0002780278,0.0001042359,0.0000774974,30,5,1,cstr
1.400000,0.0002824769,0.0001059651,0.0000788014,30,5,1,cstr
1.450000,0.0002869927,0.0001077214,0.0000801262,30,5,1,cstr
1.500000,0.0002915763,0.0001095052,0.0000814720,30,5,1,cstr
1.550000,0.0002962284,0.0001113168,0.0000828392,30,5,1,cstr
1.600000,0.0003009502,0.0001131567,0.0000842281,30,5,1,cstr
1.650000,0.0003057425,0.0001150253,0.0000856390,30,5,1,cstr
1.700000,0.0003106063,0.0001169230,0.0000870722,30,5,1,cstr
1.750000,0.0003155427,0.0001188502,0.0000885280,30,5,1,cstr
1.800000,0.0003205525,0.0001208073,0.0000900068,30,5,1,cstr
1.850000,0.0003256369,0.0001227948,0.0000915090,30,5,1,cstr
1.900000,0.0003307968,0.0001248131,0.0000930348,30,5,1,cstr
1.950000,0.0003360334,0.0001268627,0.0000945847,30,5,1,cstr
2.000000,0.0003413475,0.0001289440,0.0000961589,30,5,1,cstr
2.050000,0.0003467404,0.0001310574,0.0000977578,30,5,1,cstr
2.100000,0.0003522130,0.0001332035,0.0000993819,30,5,1,cstr
2.150000,0.0003577665,0.0001353827,0.0001010314,30,5,1,cstr
2.200000,0.0003634020,0.0001375954,0.0001027067,30,5,1,cstr
2.250000,0.0003691205,0.0001398422,0.0001044082,30,5,1,cstr
2.300000,0.0003749233,0.0001421236,0.0001061364,30,5,1,cstr
2.350000,0.0003808114,0.0001444400,0.0001078915,30,5,1,cstr
2.400000,0.0003867860,0.0001467919,0.0001096740,30,5,1,cstr
2.450000,0.0003928483,0.0001491799,0.0001114843,30,5,1,cstr
2.500000,0.0003989995,0.0001516045,0.0001133227,30,5,1,cstr
2.550000,0.0004052407,0.0001540661,0.0001151897,30,5,1,cstr
2.600000,0.0004115732,0.0001565653,0.0001170857,30,5,1,cstr
2.650000,0.0004179983,0.0001591027,0.0001190112,30,5,1,cstr
2.700000,0.0004245171,0.0001616787,0.0001209665,30,5,1,cstr
2.750000,0.0004311309,0.0001642940,0.0001229520,30,5,1,cstr
2.800000,0.0004378411,0.0001669491,0.0001249683,30,5,1,cstr
2.850000,0.0004446488,0.0001696445,0.0001270157,30,5,1,cstr
2.900000,0.0004515554,0.0001723808,0.0001290948,30,5,1,cstr
2.950000,0.0004585622,0.0001751587,0.0001312058,30,5,1,cstr
3.000000,0.0004656706,0.0001779786,0.0001333494,30,5,1,cstr
3.050000,0.0004728819,0.0001808412,0.0001355260,30,5,1,cstr
3.100000,0.0004801974,0.0001837470,0.0001377361,30,5,1,cstr
3.150000,0.0004876186,0.0001866968,0.0001399801,30,5,1,cstr
3.200000,0.0004951469,0.0001896910,0.0001422585,30,5,1,cstr
3.250000,0.0005027837,0.0001927303,0.0001445718,30,5,1,cstr
3.300000,0.0005105303,0.0001958154,0.0001469205,30,5,1,cstr
3.350000,0.0005183884,0.0001989469,0.0001493051,30,5,1,cstr
3.400000,0.0005263593,0.0002021254,0.0001517262,30,5,1,cstr
3.450000,0.0005344445,0.0002053515,0.0001541842,30,5,1,cstr
3.500000,0.0005426456,0.0002086261,0.0001566796,30,5,1,cstr
3.550000,0.0005509640,0.0002119496,0.0001592131,30,5,1,cstr
3.600000,0.0005594013,0.0002153229,0.0001617851,30,5,1,cstr
3.650000,0.0005679590,0.0002187465,0.0001643962,30,5,1,cstr
3.700000,0.0005766388,0.0002222212,0.0001670469,30,5,1,cstr
3.750000,0.0005854423,0.0002257477,0.0001697377,30,5,1,cstr
3.800000,0.0005943709,0.0002293268,0.0001724694,30,5,1,cstr
3.850000,0.0006034265,0.0002329590,0.0001752423,30,5,1,cstr
3.900000,0.0006126106,0.0002366452,0.0001780572,30,5,1,cstr
3.950000,0.0006219248,0.0002403861,0.0001809146,30,5,1,cstr
4.000000,0.0006313710,0.0002441825,0.0001838151,30,5,1,cstr
4.050000,0.0006409508,0.0002480351,0.0001867592,30,5,1,cstr
4.100000,0.0006506659,0.0002519447,0.0001897477,30,5,1,cstr
4.150000,0.0006605180,0.0002559120,0.0001927811,30,5,1,cstr
4.200000,0.0006705091,0.0002599379,0.0001958600,30,5,1,cstr
4.250000,0.0006806407,0.0002640232,0.0001989851,30,5,1,cstr
4.300000,0.0006909148,0.0002681686,0.0002021571,30,5,1,cstr
4.350000,0.0007013332,0.0002723750,0.0002053765,30,5,1,cstr
4.400000,0.0007118977,0.0002766432,0.0002086440,30,5,1,cstr
4.450000,0.0007226103,0.0002809740,0.0002119604,30,5,1,cstr
4.500000,0.0007334727,0.0002853684,0.0002153262,30,5,1,cstr
4.550000,0.0007444869,0.0002898271,0.0002187422,30,5,1,cstr
4.600000,0.0007556550,0.0002943511,0.0002222091,30,5,1,cstr
