time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
0.000000,0.0001800545,0.0000326654,0.0000237777,30,5,1,plug
0.050000,0.0001830119,0.0000332531,0.0000242112,30,5,1,plug
0.100000,0.0001860149,0.0000338509,0.0000246522,30,5,1,plug
0.150000,0.0001890644,0.0000344589,0.0000251008,30,5,1,plug
0.200000,0.0001921609,0.0000350772,0.0000255572,30,5,1,plug
0.250000,0.0001953051,0.0000357061,0.0000260215,30,5,1,plug
0.300000,0.0001984976,0.0000363457,0.0000264938,30,5,1,plug
0.350000,0.0002017393,0.0000369963,0.0000269743,30,5,1,plug
0.400000,0.0002050307,0.0000376578,0.0000274631,30,5,1,plug
0.450000,0.0002083726,0.0000383306,0.0000279603,30,5,1,plug
0.500000,0.0002117658,0.0000390149,0.0000284660,30,5,1,plug
0.550000,0.0002152108,0.0000397107,0.0000289805,30,5,1,plug
0.600000,0.0002187086,0.0000404183,0.0000295038,30,5,1,plug
0.650000,0.0002222597,0.0000411379,0.0000300361,30,5,1,plug
0.700000,0.0002258651,0.0000418697,0.0000305776,30,5,1,plug
0.750000,0.0002295254,0.0000426138,0.0000311283,30,5,1,plug
0.800000,0.0002332414,0.0000433705,0.0000316885,30,5,1,plug
0.850000,0.0002370140,0.0000441400,0.0000322582,30,5,1,plug
0.900000,0.0002408438,0.0000449223,0.0000328377,30,5,1,plug
0.950000,0.0002447317,0.0000457179,0.0000334271,30,5,1,plug
1.000000,0.0002486786,0.0000465268,0.0000340265,30,5,1,plug
1.050000,0.0002526853,0.0000473494,0.0000346361,30,5,1,plug
1.100000,0.0002567525,0.0000481857,0.0000352562,30,5,1,plug
1.150000,0.0002608812,0.0000490360,0.0000358867,30,5,1,plug
1.200000,0.0002650722,0.0000499006,0.0000365280,30,5,1,plug
1.250000,0.0002693264,0.0000507796,0.0000371802,30,5,1,plug
1.300000,0.0002736447,0.0000516733,0.0000378435,30,5,1,plug
1.350000,0.0002780278,0.0000525820,0.0000385180,30,5,1,plug
1.400000,0.0002824769,0.0000535058,0.0000392039,30,5,1,plug
1.450000,0.0002869927,0.0000544449,0.0000399014,30,5,1,plug
1.500000,0.0002915763,0.0000553998,0.0000406107,30,5,1,plug
1.550000,0.0002962284,0.0000563704,0.0000413320,30,5,1,plug
1.600000,0.0003009502,0.0000573573,0.0000420654,30,5,1,plug
1.650000,0.0003057425,0.0000583605,0.0000428112,30,5,1,plug
1.700000,0.0003106063,0.0000593803,0.0000435695,30,5,1,plug
1.750000,0.0003155427,0.0000604170,0.0000443406,30,5,1,plug
1.800000,0.0003205525,0.0000614709,0.0000451247,30,5,1,plug
1.850000,0.0003256369,0.0000625421,0.0000459219,30,5,1,plug
1.900000,0.0003307968,0.0000636311,0.0000467325,30,5,1,plug
1.950000,0.0003360334,0.0000647381,0.0000475566,30,5,1,plug
2.000000,0.0003413475,0.0000658632,0.0000483946,30,5,1,plug
2.050000,0.0003467404,0.0000670069,0.0000492465,30,5,1,plug
2.100000,0.0003522130,0.0000681694,0.0000501127,30,5,1,plug
2.150000,0.0003577665,0.0000693511,0.0000509934,30,5,1,plug
2.200000,0.0003634020,0.0000705521,0.0000518887,30,5,1,plug
2.250000,0.0003691205,0.0000717728,0.0000527989,30,5,1,plug
2.300000,0.0003749233,0.0000730135,0.0000537243,30,5,1,plug
2.350000,0.0003808114,0.0000742745,0.0000546650,30,5,1,plug
2.400000,0.0003867860,0.0000755561,0.0000556214,30,5,1,plug
2.450000,0.0003928483,0.0000768586,0.0000565936,30,5,1,plug
2.500000,0.0003989995,0.0000781824,0.0000575819,30,5,1,plug
2.550000,0.0004052407,0.0000795278,0.0000585866,30,5,1,plug
2.600000,0.0004115732,0.0000808951,0.0000596080,30,5,1,plug
2.650000,0.0004179983,0.0000822846,0.0000606461,30,5,1,plug
2.700000,0.0004245171,0.0000836967,0.0000617015,30,5,1,plug
2.750000,0.0004311309,0.0000851317,0.0000627742,30,5,1,plug
2.800000,0.0004378411,0.0000865900,0.0000638646,30,5,1,plug
2.850000,0.0004446488,0.0000880719,0.0000649729,30,5,1,plug
2.900000,0.0004515554,0.0000895778,0.0000660995,30,5,1,plug
2.950000,0.0004585622,0.0000911080,0.0000672445,30,5,1,plug
3.000000,0.0004656706,0.0000926630,0.0000684083,30,5,1,plug
3.050000,0.0004728819,0.0000942430,0.0000695913,30,5,1,plug
3.100000,0.0004801974,0.0000958485,0.0000707935,30,5,1,plug
3.150000,0.0004876186,0.0000974799,0.0000720155,30,5,1,plug
