trace_id,time_min,signal,signal_normalized
Choi_2020_C,0.000000,20.567,0.322778828
Choi_2020_C,0.250000,21.1825,0.349222375
Choi_2020_C,0.500000,21.798,0.375665922
Choi_2020_C,0.750000,23.399,0.4444492181
Choi_2020_C,1.000000,25,0.5132325142
Choi_2020_C,1.250000,24.384,0.4867674858
Choi_2020_C,1.500000,23.768,0.4603024575
Choi_2020_C,1.750000,22.7215,0.4153419832
Choi_2020_C,2.000000,21.675,0.3703815089
Choi_2020_C,2.250000,21.552,0.3650970957
Choi_2020_C,2.500000,21.429,0.3598126826
Choi_2020_C,2.750000,20.4435,0.3174729335
Choi_2020_C,3.000000,19.458,0.2751331844
Choi_2020_C,3.250000,18.627,0.2394311737
Choi_2020_C,3.500000,17.796,0.2037291631
Choi_2020_C,3.750000,17.9805,0.2116557828
Choi_2020_C,4.000000,18.165,0.2195824025
Choi_2020_C,4.250000,18.627,0.2394311737
Choi_2020_C,4.500000,19.089,0.259279945
Choi_2020_C,4.750000,19.643,0.2830812854
Choi_2020_C,5.000000,20.197,0.3068826259
Choi_2020_C,5.250000,20.474,0.3187832961
Choi_2020_C,5.500000,20.751,0.3306839663
Choi_2020_C,5.750000,21.1515,0.347890531
Choi_2020_C,6.000000,21.552,0.3650970957
Choi_2020_C,6.250000,22.7835,0.4180056711
Choi_2020_C,6.500000,24.015,0.4709142464
Choi_2020_C,6.750000,24.8155,0.5053058945
Choi_2020_C,7.000000,25.616,0.5396975425
Choi_2020_C,7.250000,25.862,0.5502663688
Choi_2020_C,7.500000,26.108,0.5608351951
Choi_2020_C,7.750000,26.0465,0.5581929885
Choi_2020_C,8.000000,25.985,0.5555507819
Choi_2020_C,8.250000,26.724,0.5873002234
Choi_2020_C,8.500000,27.463,0.6190496649
Choi_2020_C,8.750000,27.771,0.6322821791
Choi_2020_C,9.000000,28.079,0.6455146932
Choi_2020_C,9.250000,28.8795,0.6799063413
Choi_2020_C,9.500000,29.68,0.7142979893
Choi_2020_C,9.750000,29.68,0.7142979893
Choi_2020_C,10.000000,29.68,0.7142979893
Choi_2020_C,10.250000,30.85,0.7645643581
Choi_2020_C,10.500000,32.02,0.8148307269
Choi_2020_C,10.750000,32.451,0.8333476542
Choi_2020_C,11.000000,32.882,0.8518645815
Choi_2020_C,11.250000,33.621,0.883614023
Choi_2020_C,11.500000,34.36,0.9153634645
Choi_2020_C,11.750000,34.36,0.9153634645
Choi_2020_C,12.000000,34.36,0.9153634645
Choi_2020_C,12.250000,34.6675,0.9285744973
Choi_2020_C,12.500000,34.975,0.9417855302
Choi_2020_C,12.750000,35.2215,0.9523758378
Choi_2020_C,13.000000,35.468,0.9629661454
Choi_2020_C,13.250000,35.591,0.9682505585
Choi_2020_C,13.500000,35.714,0.9735349716
Choi_2020_C,13.750000,35.7755,0.9761771782
Choi_2020_C,14.000000,35.837,0.9788193848
Choi_2020_C,14.250000,35.899,0.9814830727
Choi_2020_C,14.500000,35.961,0.9841467606
Choi_2020_C,14.750000,35.899,0.9814830727
Choi_2020_C,15.000000,35.837,0.9788193848
Choi_2020_C,15.250000,35.406,0.9603024575
Choi_2020_C,15.500000,34.975,0.9417855302
Choi_2020_C,15.750000,34.7905,0.9338589105
Choi_2020_C,16.000000,34.606,0.9259322908
Choi_2020_C,16.250000,33.128,0.8624334078
Choi_2020_C,16.500000,31.65,0.7989345248
Choi_2020_C,16.750000,29.803,0.7195824025
Choi_2020_C,17.000000,27.956,0.6402302801
Choi_2020_C,17.250000,27.463,0.6190496649
Choi_2020_C,17.500000,26.97,0.5978690497
Choi_2020_C,17.750000,28.3555,0.6573938821
Choi_2020_C,18.000000,29.741,0.7169187146
Choi_2020_C,18.250000,31.8655,0.8081929885
Choi_2020_C,18.500000,33.99,0.8994672624
Choi_2020_C,18.750000,34.2365,0.91005757
Choi_2020_C,19.000000,34.483,0.9206478776
Choi_2020_C,19.250000,34.6675,0.9285744973
Choi_2020_C,19.500000,34.852,0.936501117
Choi_2020_C,19.750000,35.16,0.9497336312
Choi_2020_C,20.000000,35.468,0.9629661454
Choi_2020_C,20.250000,35.776,0.9761986596
Choi_2020_C,20.500000,36.084,0.9894311737
Choi_2020_C,20.750000,36.176,0.9933837429
Choi_2020_C,21.000000,36.268,0.9973363121
Choi_2020_C,21.250000,36.299,0.998668156
Choi_2020_C,21.500000,36.33,1
Choi_2020_C,21.750000,36.207,0.9947155869
Choi_2020_C,22.000000,36.084,0.9894311737
Choi_2020_C,22.250000,35.745,0.9748668156
Choi_2020_C,22.500000,35.406,0.9603024575
Choi_2020_C,22.750000,34.975,0.9417855302
Choi_2020_C,23.000000,34.544,0.9232686029
Choi_2020_C,23.250000,34.0825,0.9034413129
Choi_2020_C,23.500000,33.621,0.883614023
Choi_2020_C,23.750000,33.0665,0.8597912012
Choi_2020_C,24.000000,32.512,0.8359683794
Choi_2020_C,24.250000,31.989,0.813498883
Choi_2020_C,24.500000,31.466,0.7910293865
Choi_2020_C,24.750000,31.312,0.7844131294
Choi_2020_C,25.000000,31.158,0.7777968723
Choi_2020_C,25.250000,31.2195,0.7804390789
Choi_2020_C,25.500000,31.281,0.7830812854
Choi_2020_C,25.750000,31.404,0.7883656986
Choi_2020_C,26.000000,31.527,0.7936501117
Choi_2020_C,26.250000,31.4965,0.7923397491
Choi_2020_C,26.500000,31.466,0.7910293865
Choi_2020_C,26.750000,31.435,0.7896975425
Choi_2020_C,27.000000,31.404,0.7883656986
Choi_2020_C,27.250000,30.9115,0.7672065647
Choi_2020_C,27.500000,30.419,0.7460474308
Choi_2020_C,27.750000,29.5875,0.7103239388
Choi_2020_C,28.000000,28.756,0.6746004468
Choi_2020_C,28.250000,28.048,0.6441828493
Choi_2020_C,28.500000,27.34,0.6137652518
Choi_2020_C,28.750000,26.293,0.5687832961
Choi_2020_C,29.000000,25.246,0.5238013404
Choi_2020_C,29.250000,24.7535,0.5026422066
Choi_2020_C,29.500000,24.261,0.4814830727
Choi_2020_C,29.750000,23.83,0.4629661454
Choi_2020_C,30.000000,23.399,0.4444492181
Choi_2020_C,30.250000,23.3375,0.4418070115
Choi_2020_C,30.500000,23.276,0.4391648049
Choi_2020_C,30.750000,23.2145,0.4365225984
Choi_2020_C,31.000000,23.153,0.4338803918
Choi_2020_C,31.250000,22.845,0.4206478776
Choi_2020_C,31.500000,22.537,0.4074153635
Choi_2020_C,31.750000,22.106,0.3888984362
Choi_2020_C,32.000000,21.675,0.3703815089
Choi_2020_C,32.250000,21.1825,0.349222375
Choi_2020_C,32.500000,20.69,0.3280632411
Choi_2020_C,32.750000,20.4435,0.3174729335
Choi_2020_C,33.000000,20.197,0.3068826259
Choi_2020_C,33.250000,20.1355,0.3042404193
Choi_2020_C,33.500000,20.074,0.3015982128
Choi_2020_C,33.750000,19.951,0.2963137996
Choi_2020_C,34.000000,19.828,0.2910293865
Choi_2020_C,34.250000,19.5815,0.2804390789
Choi_2020_C,34.500000,19.335,0.2698487713
Choi_2020_C,34.750000,19.212,0.2645643581
Choi_2020_C,35.000000,19.089,0.259279945
Choi_2020_C,35.250000,19.1505,0.2619221516
Choi_2020_C,35.500000,19.212,0.2645643581
Choi_2020_C,35.750000,19.2735,0.2672065647
Choi_2020_C,36.000000,19.335,0.2698487713
Choi_2020_C,36.250000,19.058,0.257948101
Choi_2020_C,36.500000,18.781,0.2460474308
Choi_2020_C,36.750000,18.319,0.2261986596
Choi_2020_C,37.000000,17.857,0.2063498883
Choi_2020_C,37.250000,17.2415,0.1799063413
Choi_2020_C,37.500000,16.626,0.1534627943
