trace_id,time_min,tau_transport_min,modeled_signal,modeled_normalized_to_source,pass_strict
Choi_2020_C,0.000000,0.05,20.567,0.322778828,PASS
Choi_2020_C,0.250000,0.05,20.567,0.322778828,PASS
Choi_2020_C,0.500000,0.05,21.17835279,0.3490441998,PASS
Choi_2020_C,0.750000,0.05,21.79382485,0.3754865462,PASS
Choi_2020_C,1.000000,0.05,23.38818441,0.4439845513,PASS
Choi_2020_C,1.250000,0.05,24.98913967,0.5127659251,PASS
Choi_2020_C,1.500000,0.05,24.3880774,0.4869426619,PASS
Choi_2020_C,1.750000,0.05,23.77217805,0.4604819578,PASS
Choi_2020_C,2.000000,0.05,22.72857941,0.4156461339,PASS
Choi_2020_C,2.250000,0.05,21.68209896,0.3706864995,PASS
Choi_2020_C,2.500000,0.05,21.5528766,0.3651347568,PASS
Choi_2020_C,2.750000,0.05,21.42983467,0.3598485424,PASS
Choi_2020_C,3.000000,0.05,20.45014587,0.3177584581,PASS
Choi_2020_C,3.250000,0.05,19.46468503,0.2754203912,PASS
Choi_2020_C,3.500000,0.05,18.63264428,0.2396736672,PASS
Choi_2020_C,3.750000,0.05,17.80163726,0.2039713552,PASS
Choi_2020_C,4.000000,0.05,17.97929483,0.2116040055,PASS
Choi_2020_C,4.250000,0.05,18.16374873,0.2195286445,PASS
Choi_2020_C,4.500000,0.05,18.62387864,0.2392970716,PASS
Choi_2020_C,4.750000,0.05,19.08586604,0.2591453015,PASS
Choi_2020_C,5.000000,0.05,19.63924606,0.2829200061,PASS
Choi_2020_C,5.250000,0.05,20.19324188,0.306721167,PASS
Choi_2020_C,5.500000,0.05,20.47210827,0.3187020221,PASS
Choi_2020_C,5.750000,0.05,20.74912084,0.3306032326,PASS
Choi_2020_C,6.000000,0.05,21.14878879,0.3477740501,PASS
Choi_2020_C,6.250000,0.05,21.54928318,0.364980374,PASS
Choi_2020_C,6.500000,0.05,22.77518391,0.4176483894,PASS
Choi_2020_C,6.750000,0.05,24.00664618,0.4705553439,PASS
Choi_2020_C,7.000000,0.05,24.81004999,0.5050717471,PASS
Choi_2020_C,7.250000,0.05,25.61056955,0.5394642358,PASS
Choi_2020_C,7.500000,0.05,25.86030587,0.5501935846,PASS
Choi_2020_C,7.750000,0.05,26.10633105,0.5607634924,PASS
Choi_2020_C,8.000000,0.05,26.04690314,0.5582103084,PASS
Choi_2020_C,8.250000,0.05,25.9854171,0.5555687017,PASS
Choi_2020_C,8.500000,0.05,26.71902347,0.5870864181,PASS
Choi_2020_C,8.750000,0.05,27.45798713,0.6188342982,PASS
Choi_2020_C,9.000000,0.05,27.76889094,0.632191568,PASS
Choi_2020_C,9.250000,0.05,28.0769105,0.6454249227,PASS
Choi_2020_C,9.500000,0.05,28.87409219,0.6796740073,PASS
Choi_2020_C,9.750000,0.05,29.67456984,0.7140646948,PASS
Choi_2020_C,10.000000,0.05,29.67996341,0.7142964174,PASS
Choi_2020_C,10.250000,0.05,29.67999975,0.7142979788,PASS
Choi_2020_C,10.500000,0.05,30.8421166,0.7642256659,PASS
Choi_2020_C,10.750000,0.05,32.01206348,0.8144897527,PASS
Choi_2020_C,11.000000,0.05,32.44804247,0.8332205907,PASS
Choi_2020_C,11.250000,0.05,32.87907602,0.8517389593,PASS
Choi_2020_C,11.500000,0.05,33.61600096,0.8833992505,PASS
Choi_2020_C,11.750000,0.05,34.35498697,0.9151480913,PASS
Choi_2020_C,12.000000,0.05,34.35996622,0.9153620133,PASS
Choi_2020_C,12.250000,0.05,34.35999977,0.9153634547,PASS
Choi_2020_C,12.500000,0.05,34.66542808,0.928485482,PASS
Choi_2020_C,12.750000,0.05,34.97291412,0.9416959151,PASS
Choi_2020_C,13.000000,0.05,35.21982504,0.952303877,PASS
Choi_2020_C,13.250000,0.05,35.46632781,0.9628943036,PASS
Choi_2020_C,13.500000,0.05,35.59015997,0.9682144684,PASS
Choi_2020_C,13.750000,0.05,35.71316557,0.9734991224,PASS
Choi_2020_C,14.000000,0.05,35.77507999,0.9761591336,PASS
Choi_2020_C,14.250000,0.05,35.83658279,0.9788014601,PASS
Choi_2020_C,14.500000,0.05,35.89857944,0.9814650041,PASS
Choi_2020_C,14.750000,0.05,35.96057941,0.9841286911,PASS
Choi_2020_C,15.000000,0.05,35.89941492,0.9815008987,PASS
Choi_2020_C,15.250000,0.05,35.83742055,0.9788374527,PASS
Choi_2020_C,15.500000,0.05,35.40890689,0.9604273453,PASS
Choi_2020_C,15.750000,0.05,34.97792364,0.9419111377,PASS
Choi_2020_C,16.000000,0.05,34.79176285,0.9339131659,PASS
Choi_2020_C,16.250000,0.05,34.60725166,0.9259860655,PASS
Choi_2020_C,16.500000,0.05,33.13796712,0.8628616222,PASS
Choi_2020_C,16.750000,0.05,31.66002584,0.7993652622,PASS
Choi_2020_C,17.000000,0.05,29.81551254,0.7201199752,PASS
Choi_2020_C,17.250000,0.05,27.9685293,0.6407685726,PASS
Choi_2020_C,17.500000,0.05,27.46640623,0.6191960057,PASS
Choi_2020_C,17.750000,0.05,26.97334476,0.5980127496,PASS
Choi_2020_C,18.000000,0.05,28.34618711,0.6569937752,PASS
Choi_2020_C,18.250000,0.05,29.73160182,0.7165149435,PASS
Choi_2020_C,18.500000,0.05,31.85112191,0.8075752667,PASS
