waveform_type,T_min,topology,tau_transport_min,tau_sensor_min,amplitude_retention,NRMSE,pearson_r,feature_delay_min,pass_strict
pulse,2,plug,0.05,1,0.7435824389,0.05281542693,0.8132723787,0.75,FAIL
pulse,2,plug,0.05498641,1,0.7435695807,0.05305875702,0.8114067742,0.75,FAIL
pulse,2,plug,0.0604701,1,0.7435554402,0.05332637091,0.8093452633,0.75,FAIL
pulse,2,plug,0.06650068,1,0.7435398895,0.0536206945,0.8070663252,0.75,FAIL
pulse,2,plug,0.07313267,1,0.7435227879,0.05394439439,0.8045459238,0.75,FAIL
pulse,2,plug,0.08042606,1,0.7435039808,0.0543004054,0.8017571603,0.75,FAIL
pulse,2,plug,0.0884468,1,0.7434832981,0.05469195475,0.7986699295,0.75,FAIL
pulse,2,plug,0.09726744,1,0.7434982284,0.05512259354,0.7952504909,0.8,FAIL
pulse,2,plug,0.1,1,0.7435824389,0.05525601029,0.79418606,0.8,FAIL
pulse,2,plug,0.10696774,1,0.7435644716,0.05559342347,0.7914764738,0.8,FAIL
pulse,2,plug,0.11763544,1,0.7435369633,0.05611012186,0.7872966326,0.8,FAIL
pulse,2,plug,0.12936701,1,0.7435067117,0.05667850549,0.7826566592,0.8,FAIL
pulse,2,plug,0.14226855,1,0.7434734431,0.05730375594,0.7775025217,0.8,FAIL
pulse,2,plug,0.15645673,1,0.7435657893,0.05798803062,0.7717939644,0.85,FAIL
pulse,2,plug,0.17205988,1,0.7435255542,0.05873628446,0.7654682148,0.85,FAIL
pulse,2,plug,0.1892191,1,0.7434813066,0.05955969598,0.7584219838,0.85,FAIL
pulse,2,plug,0.20808957,1,0.7435615788,0.0604602908,0.7506011708,0.9,FAIL
pulse,2,plug,0.22884197,1,0.7435080656,0.06144359669,0.7419209197,0.9,FAIL
pulse,2,plug,0.25,1,0.7435824389,0.06244731618,0.7329349309,0.95,FAIL
pulse,2,plug,0.25166396,1,0.7435781482,0.06252493551,0.7322311795,0.95,FAIL
pulse,2,plug,0.27676195,1,0.7435134292,0.06369694137,0.7215127318,0.95,FAIL
pulse,2,plug,0.30436292,1,0.7435711885,0.06498431656,0.7095349256,1,FAIL
pulse,2,plug,0.33471648,1,0.7434929173,0.06637962828,0.6962607342,1,FAIL
pulse,2,plug,0.36809714,1,0.7435357727,0.06789979354,0.68148629,1.05,FAIL
pulse,2,plug,0.4048068,1,0.7435700439,0.0695549976,0.6650336829,1.1,FAIL
pulse,2,plug,0.44517744,1,0.7434659421,0.07134361256,0.6467963478,1.1,FAIL
pulse,2,plug,0.48957418,1,0.743480391,0.07327295577,0.6265963698,1.15,FAIL
pulse,2,plug,0.5,1,0.7435824389,0.07372666344,0.6217884552,1.2,FAIL
pulse,2,plug,0.53839852,1,0.7434834226,0.07535274637,0.604224633,1.2,FAIL
pulse,2,plug,0.59209203,1,0.7434738983,0.07758638577,0.5795084051,1.25,FAIL
pulse,2,plug,0.65114029,1,0.7435794985,0.07997519531,0.5522867343,1.35,FAIL
pulse,2,plug,0.71607733,1,0.7435409811,0.08250137768,0.5225529084,1.4,FAIL
pulse,2,plug,0.75,1,0.7435824389,0.08379717632,0.5069954361,1.45,FAIL
pulse,2,plug,0.78749042,1,0.7434857642,0.0851801008,0.4900512584,1.45,FAIL
pulse,2,plug,0.8660254,1,0.743541115,0.08798691475,0.4548698379,1.55,FAIL
pulse,2,plug,0.95239254,1,0.7435762694,0.09091613879,0.4169817247,1.65,FAIL
pulse,2,plug,1,1,0.7435824389,0.09245287719,0.3966005142,1.7,FAIL
pulse,2,plug,1.0473729,1,0.743501479,0.09392379128,0.3767505881,1.75,FAIL
pulse,2,plug,1.1518255,1,0.7435777316,0.09698447961,0.3344707562,1.85,FAIL
pulse,2,plug,1.266695,1,0.7435393884,0.1000435573,0.2908014729,1.95,FAIL
pulse,2,plug,1.3930202,1,0.743471505,0.1030734045,0.2462946414,2.05,FAIL
pulse,2,plug,1.5319435,1,0.7435000677,0.1059878968,0.2021637892,2.2,FAIL
pulse,2,plug,1.6847215,1,0.7434929044,0.1087382614,0.1594293208,2.35,FAIL
pulse,2,plug,1.8527357,1,0.7435753846,0.1112571656,0.1193851525,2.55,FAIL
pulse,2,plug,2,1,0.7435824389,0.1130643311,0.09006950266,2.7,FAIL
