time_min,C_in_normalized
0.000000,0.000092663
0.050000,0.000094243
0.100000,0.000095849
0.150000,0.000097480
0.200000,0.000099137
0.250000,0.000100822
0.300000,0.000102533
0.350000,0.000104272
0.400000,0.000106038
0.450000,0.000107833
0.500000,0.000109656
0.550000,0.000111509
0.600000,0.000113391
0.650000,0.000115303
0.700000,0.000117246
0.750000,0.000119220
0.800000,0.000121224
0.850000,0.000123261
0.900000,0.000125330
0.950000,0.000127432
1.000000,0.000129567
1.050000,0.000131735
1.100000,0.000133938
1.150000,0.000136176
1.200000,0.000138449
1.250000,0.000140758
1.300000,0.000143103
1.350000,0.000145484
1.400000,0.000147904
1.450000,0.000150361
1.500000,0.000152856
1.550000,0.000155391
1.600000,0.000157965
1.650000,0.000160579
1.700000,0.000163234
1.750000,0.000165931
1.800000,0.000168669
1.850000,0.000171450
1.900000,0.000174274
1.950000,0.000177142
2.000000,0.000180054
2.050000,0.000183012
2.100000,0.000186015
2.150000,0.000189064
2.200000,0.000192161
2.250000,0.000195305
2.300000,0.000198498
2.350000,0.000201739
2.400000,0.000205031
2.450000,0.000208373
2.500000,0.000211766
2.550000,0.000215211
2.600000,0.000218709
2.650000,0.000222260
2.700000,0.000225865
2.750000,0.000229525
2.800000,0.000233241
2.850000,0.000237014
2.900000,0.000240844
2.950000,0.000244732
3.000000,0.000248679
3.050000,0.000252685
3.100000,0.000256753
3.150000,0.000260881
3.200000,0.000265072
3.250000,0.000269326
3.300000,0.000273645
3.350000,0.000278028
3.400000,0.000282477
3.450000,0.000286993
3.500000,0.000291576
3.550000,0.000296228
3.600000,0.000300950
3.650000,0.000305742
3.700000,0.000310606
3.750000,0.000315543
3.800000,0.000320553
3.850000,0.000325637
3.900000,0.000330797
3.950000,0.000336033
4.000000,0.000341348
4.050000,0.000346740
4.100000,0.000352213
4.150000,0.000357767
4.200000,0.000363402
4.250000,0.000369121
4.300000,0.000374923
4.350000,0.000380811
4.400000,0.000386786
4.450000,0.000392848
4.500000,0.000398999
4.550000,0.000405241
4.600000,0.000411573
4.650000,0.000417998
4.700000,0.000424517
4.750000,0.000431131
4.800000,0.000437841
4.850000,0.000444649
4.900000,0.000451555
4.950000,0.000458562
5.000000,0.000465671
5.050000,0.000472882
5.100000,0.000480197
5.150000,0.000487619
5.200000,0.000495147
5.250000,0.000502784
5.300000,0.000510530
5.350000,0.000518388
5.400000,0.000526359
5.450000,0.000534445
5.500000,0.000542646
5.550000,0.000550964
5.600000,0.000559401
5.650000,0.000567959
5.700000,0.000576639
5.750000,0.000585442
5.800000,0.000594371
5.850000,0.000603426
5.900000,0.000612611
5.950000,0.000621925
6.000000,0.000631371
6.050000,0.000640951
6.100000,0.000650666
6.150000,0.000660518
6.200000,0.000670509
6.250000,0.000680641
6.300000,0.000690915
6.350000,0.000701333
6.400000,0.000711898
6.450000,0.000722610
6.500000,0.000733473
6.550000,0.000744487
6.600000,0.000755655
6.650000,0.000766979
6.700000,0.000778460
6.750000,0.000790101
6.800000,0.000801904
6.850000,0.000813871
6.900000,0.000826003
6.950000,0.000838304
7.000000,0.000850774
7.050000,0.000863417
7.100000,0.000876234
7.150000,0.000889227
7.200000,0.000902400
7.250000,0.000915753
7.300000,0.000929290
7.350000,0.000943012
7.400000,0.000956922
7.450000,0.000971023
7.500000,0.000985316
7.550000,0.000999804
7.600000,0.001014489
7.650000,0.001029374
7.700000,0.001044462
7.750000,0.001059754
7.800000,0.001075254
7.850000,0.001090963
7.900000,0.001106885
7.950000,0.001123023
8.000000,0.001139377
8.050000,0.001155953
8.100000,0.001172751
8.150000,0.001189775
8.200000,0.001207027
8.250000,0.001224511
8.300000,0.001242229
8.350000,0.001260184
8.400000,0.001278379
8.450000,0.001296816
8.500000,0.001315499
8.550000,0.001334431
8.600000,0.001353615
8.650000,0.001373052
8.700000,0.001392748
8.750000,0.001412704
8.800000,0.001432925
8.850000,0.001453412
8.900000,0.001474169
8.950000,0.001495200
9.000000,0.001516508
9.050000,0.001538096
9.100000,0.001559966
9.150000,0.001582124
9.200000,0.001604571
9.250000,0.001627312
9.300000,0.001650350
9.350000,0.001673688
9.400000,0.001697330
9.450000,0.001721279
9.500000,0.001745539
9.550000,0.001770115
9.600000,0.001795008
9.650000,0.001820223
9.700000,0.001845765
9.750000,0.001871635
9.800000,0.001897840
9.850000,0.001924381
9.900000,0.001951264
9.950000,0.001978491
10.000000,0.002006068
10.050000,0.002033997
10.100000,0.002062284
10.150000,0.002090932
10.200000,0.002119945
10.250000,0.002149328
10.300000,0.002179084
10.350000,0.002209218
10.400000,0.002239735
10.450000,0.002270638
10.500000,0.002301932
10.550000,0.002333621
10.600000,0.002365710
10.650000,0.002398204
10.700000,0.002431106
10.750000,0.002464422
10.800000,0.002498155
10.850000,0.002532312
10.900000,0.002566896
10.950000,0.002601912
11.000000,0.002637365
11.050000,0.002673260
11.100000,0.002709602
11.150000,0.002746396
11.200000,0.002783646
11.250000,0.002821358
11.300000,0.002859538
11.350000,0.002898189
11.400000,0.002937317
11.450000,0.002976927
11.500000,0.003017026
11.550000,0.003057617
11.600000,0.003098707
11.650000,0.003140300
11.700000,0.003182403
11.750000,0.003225021
11.800000,0.003268158
11.850000,0.003311822
11.900000,0.003356018
11.950000,0.003400751
12.000000,0.003446027
12.050000,0.003491852
12.100000,0.003538232
12.150000,0.003585173
12.200000,0.003632681
12.250000,0.003680761
12.300000,0.003729421
12.350000,0.003778665
12.400000,0.003828501
12.450000,0.003878934
12.500000,0.003929971
12.550000,0.003981618
12.600000,0.004033882
12.650000,0.004086769
12.700000,0.004140285
12.750000,0.004194438
12.800000,0.004249233
12.850000,0.004304678
12.900000,0.004360779
12.950000,0.004417544
13.000000,0.004474978
13.050000,0.004533089
13.100000,0.004591884
13.150000,0.004651370
13.200000,0.004711554
13.250000,0.004772443
13.300000,0.004834045
13.350000,0.004896366
13.400000,0.004959415
13.450000,0.005023198
13.500000,0.005087722
13.550000,0.005152997
13.600000,0.005219028
13.650000,0.005285824
13.700000,0.005353392
13.750000,0.005421741
13.800000,0.005490878
13.850000,0.005560810
13.900000,0.005631547
13.950000,0.005703095
14.000000,0.005775464
14.050000,0.005848661
14.100000,0.005922694
14.150000,0.005997572
14.200000,0.006073303
14.250000,0.006149895
14.300000,0.006227357
14.350000,0.006305698
14.400000,0.006384927
14.450000,0.006465051
14.500000,0.006546079
14.550000,0.006628021
14.600000,0.006710886
14.650000,0.006794682
14.700000,0.006879418
14.750000,0.006965103
14.800000,0.007051748
14.850000,0.007139360
14.900000,0.007227949
14.950000,0.007317524
15.000000,0.007408096
15.050000,0.007499673
15.100000,0.007592266
15.150000,0.007685883
15.200000,0.007780534
15.250000,0.007876230
15.300000,0.007972980
15.350000,0.008070794
15.400000,0.008169682
15.450000,0.008269655
15.500000,0.008370721
15.550000,0.008472893
15.600000,0.008576179
15.650000,0.008680591
15.700000,0.008786139
15.750000,0.008892833
15.800000,0.009000684
15.850000,0.009109703
15.900000,0.009219900
15.950000,0.009331286
16.000000,0.009443872
16.050000,0.009557670
16.100000,0.009672690
16.150000,0.009788943
16.200000,0.009906441
16.250000,0.010025195
16.300000,0.010145216
16.350000,0.010266516
16.400000,0.010389106
16.450000,0.010512998
16.500000,0.010638203
16.550000,0.010764734
16.600000,0.010892602
16.650000,0.011021819
16.700000,0.011152397
16.750000,0.011284348
16.800000,0.011417684
16.850000,0.011552418
16.900000,0.011688562
16.950000,0.011826128
17.000000,0.011965129
17.050000,0.012105577
17.100000,0.012247485
17.150000,0.012390866
17.200000,0.012535732
17.250000,0.012682096
17.300000,0.012829972
17.350000,0.012979372
17.400000,0.013130309
17.450000,0.013282797
17.500000,0.013436849
17.550000,0.013592478
17.600000,0.013749698
17.650000,0.013908522
17.700000,0.014068964
17.750000,0.014231038
17.800000,0.014394757
17.850000,0.014560135
17.900000,0.014727186
17.950000,0.014895924
18.000000,0.015066363
18.050000,0.015238518
18.100000,0.015412403
18.150000,0.015588031
18.200000,0.015765418
18.250000,0.015944578
18.300000,0.016125526
18.350000,0.016308276
18.400000,0.016492842
18.450000,0.016679241
18.500000,0.016867487
18.550000,0.017057594
18.600000,0.017249578
18.650000,0.017443454
18.700000,0.017639238
18.750000,0.017836944
18.800000,0.018036588
18.850000,0.018238186
18.900000,0.018441753
18.950000,0.018647305
19.000000,0.018854857
19.050000,0.019064426
19.100000,0.019276028
19.150000,0.019489677
19.200000,0.019705391
19.250000,0.019923186
19.300000,0.020143078
19.350000,0.020365083
19.400000,0.020589217
19.450000,0.020815498
19.500000,0.021043941
19.550000,0.021274563
19.600000,0.021507382
19.650000,0.021742414
