time_min,C_in_normalized
0.000000,0.500000000
0.050000,0.505235892
0.100000,0.510471210
0.150000,0.515705380
0.200000,0.520937827
0.250000,0.526167978
0.300000,0.531395260
0.350000,0.536619099
0.400000,0.541838922
0.450000,0.547054157
0.500000,0.552264232
0.550000,0.557468575
0.600000,0.562666617
0.650000,0.567857786
0.700000,0.573041514
0.750000,0.578217233
0.800000,0.583384373
0.850000,0.588542370
0.900000,0.593690657
0.950000,0.598828670
1.000000,0.603955845
1.050000,0.609071621
1.100000,0.614175435
1.150000,0.619266729
1.200000,0.624344944
1.250000,0.629409523
1.300000,0.634459910
1.350000,0.639495553
1.400000,0.644515898
1.450000,0.649520396
1.500000,0.654508497
1.550000,0.659479655
1.600000,0.664433323
1.650000,0.669368960
1.700000,0.674286024
1.750000,0.679183975
1.800000,0.684062276
1.850000,0.688920393
1.900000,0.693757793
1.950000,0.698573945
2.000000,0.703368322
2.050000,0.708140396
2.100000,0.712889646
2.150000,0.717615550
2.200000,0.722317590
2.250000,0.726995250
2.300000,0.731648018
2.350000,0.736275382
2.400000,0.740876837
2.450000,0.745451877
2.500000,0.750000000
2.550000,0.754520708
2.600000,0.759013505
2.650000,0.763477898
2.700000,0.767913397
2.750000,0.772319518
2.800000,0.776695775
2.850000,0.781041689
2.900000,0.785356784
2.950000,0.789640586
3.000000,0.793892626
3.050000,0.798112437
3.100000,0.802299557
3.150000,0.806453527
3.200000,0.810573890
3.250000,0.814660196
3.300000,0.818711995
3.350000,0.822728844
3.400000,0.826710302
3.450000,0.830655933
3.500000,0.834565303
3.550000,0.838437985
3.600000,0.842273553
3.650000,0.846071587
3.700000,0.849831670
3.750000,0.853553391
3.800000,0.857236340
3.850000,0.860880114
3.900000,0.864484314
3.950000,0.868048544
4.000000,0.871572413
4.050000,0.875055535
4.100000,0.878497528
4.150000,0.881898014
4.200000,0.885256621
4.250000,0.888572981
4.300000,0.891846729
4.350000,0.895077506
4.400000,0.898264959
4.450000,0.901408738
4.500000,0.904508497
4.550000,0.907563898
4.600000,0.910574605
4.650000,0.913540287
4.700000,0.916460620
4.750000,0.919335284
4.800000,0.922163963
4.850000,0.924946346
4.900000,0.927682130
4.950000,0.930371014
5.000000,0.933012702
5.050000,0.935606906
5.100000,0.938153340
5.150000,0.940651726
5.200000,0.943101790
5.250000,0.945503262
5.300000,0.947855880
5.350000,0.950159386
5.400000,0.952413526
5.450000,0.954618055
5.500000,0.956772729
5.550000,0.958877313
5.600000,0.960931576
5.650000,0.962935292
5.700000,0.964888243
5.750000,0.966790213
5.800000,0.968640995
5.850000,0.970440384
5.900000,0.972188185
5.950000,0.973884205
6.000000,0.975528258
6.050000,0.977120164
6.100000,0.978659749
6.150000,0.980146843
6.200000,0.981581283
6.250000,0.982962913
6.300000,0.984291581
6.350000,0.985567140
6.400000,0.986789451
6.450000,0.987958381
6.500000,0.989073800
6.550000,0.990135587
6.600000,0.991143625
6.650000,0.992097804
6.700000,0.992998019
6.750000,0.993844170
6.800000,0.994636166
6.850000,0.995373920
6.900000,0.996057351
6.950000,0.996686383
7.000000,0.997260948
7.050000,0.997780982
7.100000,0.998246430
7.150000,0.998657239
7.200000,0.999013364
7.250000,0.999314767
7.300000,0.999561415
7.350000,0.999753280
7.400000,0.999890342
7.450000,0.999972585
7.500000,1.000000000
7.550000,0.999972585
7.600000,0.999890342
7.650000,0.999753280
7.700000,0.999561415
7.750000,0.999314767
7.800000,0.999013364
7.850000,0.998657239
7.900000,0.998246430
7.950000,0.997780982
8.000000,0.997260948
8.050000,0.996686383
8.100000,0.996057351
8.150000,0.995373920
8.200000,0.994636166
8.250000,0.993844170
8.300000,0.992998019
8.350000,0.992097804
8.400000,0.991143625
8.450000,0.990135587
8.500000,0.989073800
8.550000,0.987958381
8.600000,0.986789451
8.650000,0.985567140
8.700000,0.984291581
8.750000,0.982962913
8.800000,0.981581283
8.850000,0.980146843
8.900000,0.978659749
8.950000,0.977120164
9.000000,0.975528258
9.050000,0.973884205
9.100000,0.972188185
9.150000,0.970440384
9.200000,0.968640995
9.250000,0.966790213
9.300000,0.964888243
9.350000,0.962935292
9.400000,0.960931576
9.450000,0.958877313
9.500000,0.956772729
9.550000,0.954618055
9.600000,0.952413526
9.650000,0.950159386
9.700000,0.947855880
9.750000,0.945503262
9.800000,0.943101790
9.850000,0.940651726
9.900000,0.938153340
9.950000,0.935606906
10.000000,0.933012702
10.050000,0.930371014
10.100000,0.927682130
10.150000,0.924946346
10.200000,0.922163963
10.250000,0.919335284
10.300000,0.916460620
10.350000,0.913540287
10.400000,0.910574605
10.450000,0.907563898
10.500000,0.904508497
10.550000,0.901408738
10.600000,0.898264959
10.650000,0.895077506
10.700000,0.891846729
10.750000,0.888572981
10.800000,0.885256621
10.850000,0.881898014
10.900000,0.878497528
10.950000,0.875055535
11.000000,0.871572413
11.050000,0.868048544
11.100000,0.864484314
11.150000,0.860880114
11.200000,0.857236340
11.250000,0.853553391
11.300000,0.849831670
11.350000,0.846071587
11.400000,0.842273553
11.450000,0.838437985
11.500000,0.834565303
11.550000,0.830655933
11.600000,0.826710302
11.650000,0.822728844
11.700000,0.818711995
11.750000,0.814660196
11.800000,0.810573890
11.850000,0.806453527
11.900000,0.802299557
11.950000,0.798112437
12.000000,0.793892626
12.050000,0.789640586
12.100000,0.785356784
12.150000,0.781041689
12.200000,0.776695775
12.250000,0.772319518
12.300000,0.767913397
12.350000,0.763477898
12.400000,0.759013505
12.450000,0.754520708
12.500000,0.750000000
12.550000,0.745451877
12.600000,0.740876837
12.650000,0.736275382
12.700000,0.731648018
12.750000,0.726995250
12.800000,0.722317590
12.850000,0.717615550
12.900000,0.712889646
12.950000,0.708140396
13.000000,0.703368322
13.050000,0.698573945
13.100000,0.693757793
13.150000,0.688920393
13.200000,0.684062276
13.250000,0.679183975
13.300000,0.674286024
13.350000,0.669368960
13.400000,0.664433323
13.450000,0.659479655
13.500000,0.654508497
13.550000,0.649520396
13.600000,0.644515898
13.650000,0.639495553
13.700000,0.634459910
13.750000,0.629409523
13.800000,0.624344944
13.850000,0.619266729
13.900000,0.614175435
13.950000,0.609071621
14.000000,0.603955845
14.050000,0.598828670
14.100000,0.593690657
14.150000,0.588542370
14.200000,0.583384373
14.250000,0.578217233
14.300000,0.573041514
14.350000,0.567857786
14.400000,0.562666617
14.450000,0.557468575
14.500000,0.552264232
14.550000,0.547054157
14.600000,0.541838922
14.650000,0.536619099
14.700000,0.531395260
14.750000,0.526167978
14.800000,0.520937827
14.850000,0.515705380
14.900000,0.510471210
14.950000,0.505235892
15.000000,0.500000000
15.050000,0.494764108
15.100000,0.489528790
15.150000,0.484294620
15.200000,0.479062173
15.250000,0.473832022
15.300000,0.468604740
15.350000,0.463380901
15.400000,0.458161078
15.450000,0.452945843
15.500000,0.447735768
15.550000,0.442531425
15.600000,0.437333383
15.650000,0.432142214
15.700000,0.426958486
15.750000,0.421782767
15.800000,0.416615627
15.850000,0.411457630
15.900000,0.406309343
15.950000,0.401171330
16.000000,0.396044155
16.050000,0.390928379
16.100000,0.385824565
16.150000,0.380733271
16.200000,0.375655056
16.250000,0.370590477
16.300000,0.365540090
16.350000,0.360504447
16.400000,0.355484102
16.450000,0.350479604
16.500000,0.345491503
16.550000,0.340520345
16.600000,0.335566677
16.650000,0.330631040
16.700000,0.325713976
16.750000,0.320816025
16.800000,0.315937724
16.850000,0.311079607
16.900000,0.306242207
16.950000,0.301426055
17.000000,0.296631678
17.050000,0.291859604
17.100000,0.287110354
17.150000,0.282384450
17.200000,0.277682410
17.250000,0.273004750
17.300000,0.268351982
17.350000,0.263724618
17.400000,0.259123163
