time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
0.000000,0.0000004538,0.0000000004,0.0000000001,10,5,1,plug
0.050000,0.0000004836,0.0000000004,0.0000000002,10,5,1,plug
0.100000,0.0000005153,0.0000000005,0.0000000002,10,5,1,plug
0.150000,0.0000005490,0.0000000005,0.0000000002,10,5,1,plug
0.200000,0.0000005848,0.0000000005,0.0000000002,10,5,1,plug
0.250000,0.0000006228,0.0000000006,0.0000000002,10,5,1,plug
0.300000,0.0000006632,0.0000000006,0.0000000002,10,5,1,plug
0.350000,0.0000007061,0.0000000007,0.0000000003,10,5,1,plug
0.400000,0.0000007518,0.0000000007,0.0000000003,10,5,1,plug
0.450000,0.0000008002,0.0000000008,0.0000000003,10,5,1,plug
0.500000,0.0000008517,0.0000000008,0.0000000003,10,5,1,plug
0.550000,0.0000009063,0.0000000009,0.0000000003,10,5,1,plug
0.600000,0.0000009643,0.0000000010,0.0000000004,10,5,1,plug
0.650000,0.0000010259,0.0000000011,0.0000000004,10,5,1,plug
0.700000,0.0000010913,0.0000000011,0.0000000004,10,5,1,plug
0.750000,0.0000011607,0.0000000012,0.0000000005,10,5,1,plug
0.800000,0.0000012343,0.0000000013,0.0000000005,10,5,1,plug
0.850000,0.0000013124,0.0000000014,0.0000000005,10,5,1,plug
0.900000,0.0000013952,0.0000000015,0.0000000006,10,5,1,plug
0.950000,0.0000014831,0.0000000017,0.0000000006,10,5,1,plug
1.000000,0.0000015763,0.0000000018,0.0000000007,10,5,1,plug
1.050000,0.0000016751,0.0000000019,0.0000000007,10,5,1,plug
1.100000,0.0000017798,0.0000000021,0.0000000008,10,5,1,plug
1.150000,0.0000018909,0.0000000022,0.0000000009,10,5,1,plug
1.200000,0.0000020086,0.0000000024,0.0000000009,10,5,1,plug
1.250000,0.0000021333,0.0000000026,0.0000000010,10,5,1,plug
1.300000,0.0000022655,0.0000000028,0.0000000011,10,5,1,plug
1.350000,0.0000024055,0.0000000030,0.0000000012,10,5,1,plug
1.400000,0.0000025538,0.0000000032,0.0000000013,10,5,1,plug
1.450000,0.0000027108,0.0000000035,0.0000000013,10,5,1,plug
1.500000,0.0000028772,0.0000000038,0.0000000015,10,5,1,plug
1.550000,0.0000030533,0.0000000040,0.0000000016,10,5,1,plug
