time_min,C_in,C_f,S,T_min,tau_transport_min,tau_sensor_min,topology
0.000000,0.0000004538,0.0000000582,0.0000000241,10,5,1,cstr
0.050000,0.0000004836,0.0000000621,0.0000000258,10,5,1,cstr
0.100000,0.0000005153,0.0000000663,0.0000000276,10,5,1,cstr
0.150000,0.0000005490,0.0000000708,0.0000000294,10,5,1,cstr
0.200000,0.0000005848,0.0000000756,0.0000000315,10,5,1,cstr
0.250000,0.0000006228,0.0000000806,0.0000000336,10,5,1,cstr
0.300000,0.0000006632,0.0000000860,0.0000000359,10,5,1,cstr
0.350000,0.0000007061,0.0000000918,0.0000000384,10,5,1,cstr
0.400000,0.0000007518,0.0000000979,0.0000000410,10,5,1,cstr
0.450000,0.0000008002,0.0000001044,0.0000000437,10,5,1,cstr
0.500000,0.0000008517,0.0000001113,0.0000000467,10,5,1,cstr
0.550000,0.0000009063,0.0000001187,0.0000000498,10,5,1,cstr
0.600000,0.0000009643,0.0000001265,0.0000000532,10,5,1,cstr
0.650000,0.0000010259,0.0000001349,0.0000000568,10,5,1,cstr
0.700000,0.0000010913,0.0000001437,0.0000000606,10,5,1,cstr
0.750000,0.0000011607,0.0000001531,0.0000000646,10,5,1,cstr
0.800000,0.0000012343,0.0000001632,0.0000000690,10,5,1,cstr
0.850000,0.0000013124,0.0000001738,0.0000000736,10,5,1,cstr
0.900000,0.0000013952,0.0000001852,0.0000000784,10,5,1,cstr
0.950000,0.0000014831,0.0000001972,0.0000000836,10,5,1,cstr
1.000000,0.0000015763,0.0000002100,0.0000000892,10,5,1,cstr
1.050000,0.0000016751,0.0000002236,0.0000000951,10,5,1,cstr
1.100000,0.0000017798,0.0000002380,0.0000001013,10,5,1,cstr
1.150000,0.0000018909,0.0000002534,0.0000001080,10,5,1,cstr
1.200000,0.0000020086,0.0000002697,0.0000001151,10,5,1,cstr
1.250000,0.0000021333,0.0000002870,0.0000001226,10,5,1,cstr
1.300000,0.0000022655,0.0000003053,0.0000001307,10,5,1,cstr
1.350000,0.0000024055,0.0000003248,0.0000001392,10,5,1,cstr
1.400000,0.0000025538,0.0000003455,0.0000001482,10,5,1,cstr
1.450000,0.0000027108,0.0000003675,0.0000001579,10,5,1,cstr
1.500000,0.0000028772,0.0000003908,0.0000001681,10,5,1,cstr
1.550000,0.0000030533,0.0000004156,0.0000001789,10,5,1,cstr
1.600000,0.0000032397,0.0000004418,0.0000001905,10,5,1,cstr
1.650000,0.0000034371,0.0000004697,0.0000002027,10,5,1,cstr
