trace_id,time_min,signal,signal_normalized
Saha_2024_Fig3b_Subject1,0.000000,100.36,0.05387713998
Saha_2024_Fig3b_Subject1,0.250000,100.38625,0.05453801611
Saha_2024_Fig3b_Subject1,0.500000,100.4125,0.05519889225
Saha_2024_Fig3b_Subject1,0.750000,100.43875,0.05585976838
Saha_2024_Fig3b_Subject1,1.000000,100.465,0.05652064451
Saha_2024_Fig3b_Subject1,1.250000,100.49125,0.05718152064
Saha_2024_Fig3b_Subject1,1.500000,100.5175,0.05784239678
Saha_2024_Fig3b_Subject1,1.750000,100.54375,0.05850327291
Saha_2024_Fig3b_Subject1,2.000000,100.57,0.05916414904
Saha_2024_Fig3b_Subject1,2.250000,100.82375,0.06555261833
Saha_2024_Fig3b_Subject1,2.500000,101.0775,0.07194108761
Saha_2024_Fig3b_Subject1,2.750000,101.33125,0.0783295569
Saha_2024_Fig3b_Subject1,3.000000,101.585,0.08471802618
Saha_2024_Fig3b_Subject1,3.250000,101.83875,0.09110649547
Saha_2024_Fig3b_Subject1,3.500000,102.0925,0.09749496475
Saha_2024_Fig3b_Subject1,3.750000,102.34625,0.103883434
Saha_2024_Fig3b_Subject1,4.000000,102.6,0.1102719033
Saha_2024_Fig3b_Subject1,4.250000,102.94625,0.1189891742
Saha_2024_Fig3b_Subject1,4.500000,103.2925,0.1277064451
Saha_2024_Fig3b_Subject1,4.750000,103.63875,0.136423716
Saha_2024_Fig3b_Subject1,5.000000,103.985,0.1451409869
Saha_2024_Fig3b_Subject1,5.250000,104.33125,0.1538582578
Saha_2024_Fig3b_Subject1,5.500000,104.6775,0.1625755287
Saha_2024_Fig3b_Subject1,5.750000,105.02375,0.1712927996
Saha_2024_Fig3b_Subject1,6.000000,105.37,0.1800100705
Saha_2024_Fig3b_Subject1,6.250000,105.6375,0.186744713
Saha_2024_Fig3b_Subject1,6.500000,105.905,0.1934793555
Saha_2024_Fig3b_Subject1,6.750000,106.1725,0.200213998
Saha_2024_Fig3b_Subject1,7.000000,106.44,0.2069486405
Saha_2024_Fig3b_Subject1,7.250000,106.7075,0.213683283
Saha_2024_Fig3b_Subject1,7.500000,106.975,0.2204179255
Saha_2024_Fig3b_Subject1,7.750000,107.2425,0.227152568
Saha_2024_Fig3b_Subject1,8.000000,107.51,0.2338872105
Saha_2024_Fig3b_Subject1,8.250000,107.85625,0.2426044814
Saha_2024_Fig3b_Subject1,8.500000,108.2025,0.2513217523
Saha_2024_Fig3b_Subject1,8.750000,108.54875,0.2600390232
Saha_2024_Fig3b_Subject1,9.000000,108.895,0.2687562941
Saha_2024_Fig3b_Subject1,9.250000,109.24125,0.277473565
Saha_2024_Fig3b_Subject1,9.500000,109.5875,0.2861908359
Saha_2024_Fig3b_Subject1,9.750000,109.93375,0.2949081067
Saha_2024_Fig3b_Subject1,10.000000,110.28,0.3036253776
Saha_2024_Fig3b_Subject1,10.250000,110.57375,0.3110208963
Saha_2024_Fig3b_Subject1,10.500000,110.8675,0.3184164149
Saha_2024_Fig3b_Subject1,10.750000,111.16125,0.3258119335
Saha_2024_Fig3b_Subject1,11.000000,111.455,0.3332074522
Saha_2024_Fig3b_Subject1,11.250000,111.74875,0.3406029708
Saha_2024_Fig3b_Subject1,11.500000,112.0425,0.3479984894
Saha_2024_Fig3b_Subject1,11.750000,112.33625,0.3553940081
Saha_2024_Fig3b_Subject1,12.000000,112.63,0.3627895267
Saha_2024_Fig3b_Subject1,12.250000,112.95125,0.3708773917
Saha_2024_Fig3b_Subject1,12.500000,113.2725,0.3789652568
Saha_2024_Fig3b_Subject1,12.750000,113.59375,0.3870531219
Saha_2024_Fig3b_Subject1,13.000000,113.915,0.3951409869
Saha_2024_Fig3b_Subject1,13.250000,114.23625,0.403228852
Saha_2024_Fig3b_Subject1,13.500000,114.5575,0.411316717
Saha_2024_Fig3b_Subject1,13.750000,114.87875,0.4194045821
Saha_2024_Fig3b_Subject1,14.000000,115.2,0.4274924471
Saha_2024_Fig3b_Subject1,14.250000,115.50625,0.4352026687
Saha_2024_Fig3b_Subject1,14.500000,115.8125,0.4429128902
Saha_2024_Fig3b_Subject1,14.750000,116.11875,0.4506231118
Saha_2024_Fig3b_Subject1,15.000000,116.425,0.4583333333
Saha_2024_Fig3b_Subject1,15.250000,116.73125,0.4660435549
Saha_2024_Fig3b_Subject1,15.500000,117.0375,0.4737537764
Saha_2024_Fig3b_Subject1,15.750000,117.34375,0.481463998
Saha_2024_Fig3b_Subject1,16.000000,117.65,0.4891742195
Saha_2024_Fig3b_Subject1,16.250000,118.0375,0.4989300101
Saha_2024_Fig3b_Subject1,16.500000,118.425,0.5086858006
Saha_2024_Fig3b_Subject1,16.750000,118.8125,0.5184415911
Saha_2024_Fig3b_Subject1,17.000000,119.2,0.5281973817
Saha_2024_Fig3b_Subject1,17.250000,119.5875,0.5379531722
Saha_2024_Fig3b_Subject1,17.500000,119.975,0.5477089627
Saha_2024_Fig3b_Subject1,17.750000,120.3625,0.5574647533
Saha_2024_Fig3b_Subject1,18.000000,120.75,0.5672205438
Saha_2024_Fig3b_Subject1,18.250000,121.09625,0.5759378147
Saha_2024_Fig3b_Subject1,18.500000,121.4425,0.5846550856
Saha_2024_Fig3b_Subject1,18.750000,121.78875,0.5933723565
Saha_2024_Fig3b_Subject1,19.000000,122.135,0.6020896274
Saha_2024_Fig3b_Subject1,19.250000,122.48125,0.6108068983
Saha_2024_Fig3b_Subject1,19.500000,122.8275,0.6195241692
Saha_2024_Fig3b_Subject1,19.750000,123.17375,0.6282414401
Saha_2024_Fig3b_Subject1,20.000000,123.52,0.636958711
Saha_2024_Fig3b_Subject1,20.250000,123.92125,0.6470606747
Saha_2024_Fig3b_Subject1,20.500000,124.3225,0.6571626385
Saha_2024_Fig3b_Subject1,20.750000,124.72375,0.6672646022
Saha_2024_Fig3b_Subject1,21.000000,125.125,0.677366566
Saha_2024_Fig3b_Subject1,21.250000,125.52625,0.6874685297
Saha_2024_Fig3b_Subject1,21.500000,125.9275,0.6975704935
Saha_2024_Fig3b_Subject1,21.750000,126.32875,0.7076724572
Saha_2024_Fig3b_Subject1,22.000000,126.73,0.7177744209
Saha_2024_Fig3b_Subject1,22.250000,127.07625,0.7264916918
Saha_2024_Fig3b_Subject1,22.500000,127.4225,0.7352089627
Saha_2024_Fig3b_Subject1,22.750000,127.76875,0.7439262336
Saha_2024_Fig3b_Subject1,23.000000,128.115,0.7526435045
Saha_2024_Fig3b_Subject1,23.250000,128.46125,0.7613607754
Saha_2024_Fig3b_Subject1,23.500000,128.8075,0.7700780463
Saha_2024_Fig3b_Subject1,23.750000,129.15375,0.7787953172
Saha_2024_Fig3b_Subject1,24.000000,129.5,0.7875125881
Saha_2024_Fig3b_Subject1,24.250000,129.9,0.7975830816
Saha_2024_Fig3b_Subject1,24.500000,130.3,0.807653575
Saha_2024_Fig3b_Subject1,24.750000,130.7,0.8177240685
Saha_2024_Fig3b_Subject1,25.000000,131.1,0.8277945619
Saha_2024_Fig3b_Subject1,25.250000,131.5,0.8378650554
Saha_2024_Fig3b_Subject1,25.500000,131.9,0.8479355488
Saha_2024_Fig3b_Subject1,25.750000,132.3,0.8580060423
Saha_2024_Fig3b_Subject1,26.000000,132.7,0.8680765358
Saha_2024_Fig3b_Subject1,26.250000,133.10125,0.8781784995
Saha_2024_Fig3b_Subject1,26.500000,133.5025,0.8882804632
Saha_2024_Fig3b_Subject1,26.750000,133.90375,0.898382427
Saha_2024_Fig3b_Subject1,27.000000,134.305,0.9084843907
Saha_2024_Fig3b_Subject1,27.250000,134.70625,0.9185863545
Saha_2024_Fig3b_Subject1,27.500000,135.1075,0.9286883182
Saha_2024_Fig3b_Subject1,27.750000,135.50875,0.938790282
Saha_2024_Fig3b_Subject1,28.000000,135.91,0.9488922457
Saha_2024_Fig3b_Subject1,28.250000,136.16375,0.955280715
Saha_2024_Fig3b_Subject1,28.500000,136.4175,0.9616691843
Saha_2024_Fig3b_Subject1,28.750000,136.67125,0.9680576536
Saha_2024_Fig3b_Subject1,29.000000,136.925,0.9744461229
Saha_2024_Fig3b_Subject1,29.250000,137.17875,0.9808345921
Saha_2024_Fig3b_Subject1,29.500000,137.4325,0.9872230614
Saha_2024_Fig3b_Subject1,29.750000,137.68625,0.9936115307
Saha_2024_Fig3b_Subject1,30.000000,137.94,1
Saha_2024_Fig3b_Subject1,30.250000,137.92625,0.9996538268
Saha_2024_Fig3b_Subject1,30.500000,137.9125,0.9993076536
Saha_2024_Fig3b_Subject1,30.750000,137.89875,0.9989614804
Saha_2024_Fig3b_Subject1,31.000000,137.885,0.9986153072
Saha_2024_Fig3b_Subject1,31.250000,137.87125,0.9982691339
Saha_2024_Fig3b_Subject1,31.500000,137.8575,0.9979229607
Saha_2024_Fig3b_Subject1,31.750000,137.84375,0.9975767875
Saha_2024_Fig3b_Subject1,32.000000,137.83,0.9972306143
Saha_2024_Fig3b_Subject1,32.250000,137.6025,0.9915030211
Saha_2024_Fig3b_Subject1,32.500000,137.375,0.985775428
Saha_2024_Fig3b_Subject1,32.750000,137.1475,0.9800478348
Saha_2024_Fig3b_Subject1,33.000000,136.92,0.9743202417
Saha_2024_Fig3b_Subject1,33.250000,136.6925,0.9685926485
Saha_2024_Fig3b_Subject1,33.500000,136.465,0.9628650554
Saha_2024_Fig3b_Subject1,33.750000,136.2375,0.9571374622
Saha_2024_Fig3b_Subject1,34.000000,136.01,0.9514098691
Saha_2024_Fig3b_Subject1,34.250000,135.6775,0.9430387714
Saha_2024_Fig3b_Subject1,34.500000,135.345,0.9346676737
Saha_2024_Fig3b_Subject1,34.750000,135.0125,0.926296576
Saha_2024_Fig3b_Subject1,35.000000,134.68,0.9179254783
Saha_2024_Fig3b_Subject1,35.250000,134.3475,0.9095543807
Saha_2024_Fig3b_Subject1,35.500000,134.015,0.901183283
Saha_2024_Fig3b_Subject1,35.750000,133.6825,0.8928121853
Saha_2024_Fig3b_Subject1,36.000000,133.35,0.8844410876
Saha_2024_Fig3b_Subject1,36.250000,133.06875,0.8773602719
Saha_2024_Fig3b_Subject1,36.500000,132.7875,0.8702794562
Saha_2024_Fig3b_Subject1,36.750000,132.50625,0.8631986405
Saha_2024_Fig3b_Subject1,37.000000,132.225,0.8561178248
Saha_2024_Fig3b_Subject1,37.250000,131.94375,0.8490370091
Saha_2024_Fig3b_Subject1,37.500000,131.6625,0.8419561934
Saha_2024_Fig3b_Subject1,37.750000,131.38125,0.8348753776
Saha_2024_Fig3b_Subject1,38.000000,131.1,0.8277945619
Saha_2024_Fig3b_Subject1,38.250000,130.76625,0.819391994
Saha_2024_Fig3b_Subject1,38.500000,130.4325,0.810989426
Saha_2024_Fig3b_Subject1,38.750000,130.09875,0.802586858
Saha_2024_Fig3b_Subject1,39.000000,129.765,0.79418429
Saha_2024_Fig3b_Subject1,39.250000,129.43125,0.7857817221
