trace_id,time_min,tau_transport_min,modeled_signal,modeled_normalized_to_source,pass_strict
Saha_2024_Fig3b_Subject1,0.000000,0.5,100.36,0.05387713998,PASS
Saha_2024_Fig3b_Subject1,0.250000,0.5,100.36,0.05387713998,PASS
Saha_2024_Fig3b_Subject1,0.500000,0.5,100.3703286,0.05413717448,PASS
Saha_2024_Fig3b_Subject1,0.750000,0.5,100.3869217,0.05455492787,PASS
Saha_2024_Fig3b_Subject1,1.000000,0.5,100.4073146,0.0550683426,PASS
Saha_2024_Fig3b_Subject1,1.250000,0.5,100.430012,0.05563977888,PASS
Saha_2024_Fig3b_Subject1,1.500000,0.5,100.4541073,0.05624640699,PASS
Saha_2024_Fig3b_Subject1,1.750000,0.5,100.4790504,0.05687438004,PASS
Saha_2024_Fig3b_Subject1,2.000000,0.5,100.5045077,0.05751529944,PASS
Saha_2024_Fig3b_Subject1,2.250000,0.5,100.5302769,0.05816407121,PASS
Saha_2024_Fig3b_Subject1,2.500000,0.5,100.6457496,0.06107123797,PASS
Saha_2024_Fig3b_Subject1,2.750000,0.5,100.8156301,0.06534819054,PASS
Saha_2024_Fig3b_Subject1,3.000000,0.5,101.0185107,0.0704559602,PASS
Saha_2024_Fig3b_Subject1,3.250000,0.5,101.2414069,0.07606764589,PASS
Saha_2024_Fig3b_Subject1,3.500000,0.5,101.4764431,0.08198497211,PASS
Saha_2024_Fig3b_Subject1,3.750000,0.5,101.7188426,0.08808767868,PASS
Saha_2024_Fig3b_Subject1,4.000000,0.5,101.9657082,0.09430282412,PASS
Saha_2024_Fig3b_Subject1,4.250000,0.5,102.2152826,0.1005861672,PASS
Saha_2024_Fig3b_Subject1,4.500000,0.5,102.5028958,0.1078271862,PASS
Saha_2024_Fig3b_Subject1,4.750000,0.5,102.8135809,0.1156490651,PASS
Saha_2024_Fig3b_Subject1,5.000000,0.5,103.1382596,0.1238232533,PASS
Saha_2024_Fig3b_Subject1,5.250000,0.5,103.471426,0.1322111279,PASS
Saha_2024_Fig3b_Subject1,5.500000,0.5,103.8097404,0.1407286098,PASS
Saha_2024_Fig3b_Subject1,5.750000,0.5,104.1511772,0.1493247026,PASS
Saha_2024_Fig3b_Subject1,6.000000,0.5,104.4945078,0.1579684752,PASS
Saha_2024_Fig3b_Subject1,6.250000,0.5,104.8389872,0.1666411672,PASS
Saha_2024_Fig3b_Subject1,6.500000,0.5,105.1531775,0.1745512961,PASS
Saha_2024_Fig3b_Subject1,6.750000,0.5,105.4489966,0.1819989071,PASS
Saha_2024_Fig3b_Subject1,7.000000,0.5,105.733673,0.1891659869,PASS
Saha_2024_Fig3b_Subject1,7.250000,0.5,106.011591,0.1961629159,PASS
Saha_2024_Fig3b_Subject1,7.500000,0.5,106.2854099,0.2030566432,PASS
Saha_2024_Fig3b_Subject1,7.750000,0.5,106.5567424,0.2098877755,PASS
Saha_2024_Fig3b_Subject1,8.000000,0.5,106.826567,0.216680942,PASS
Saha_2024_Fig3b_Subject1,8.250000,0.5,107.0954769,0.2234510811,PASS
Saha_2024_Fig3b_Subject1,8.500000,0.5,107.3948178,0.2309873569,PASS
Saha_2024_Fig3b_Subject1,8.750000,0.5,107.712616,0.238988318,PASS
Saha_2024_Fig3b_Subject1,9.000000,0.5,108.0416091,0.2472711251,PASS
Saha_2024_Fig3b_Subject1,9.250000,0.5,108.3773922,0.2557248803,PASS
Saha_2024_Fig3b_Subject1,9.500000,0.5,108.7172938,0.2642823209,PASS
Saha_2024_Fig3b_Subject1,9.750000,0.5,109.0596933,0.2729026498,PASS
Saha_2024_Fig3b_Subject1,10.000000,0.5,109.4036078,0.2815611225,PASS
Saha_2024_Fig3b_Subject1,10.250000,0.5,109.7484413,0.2902427304,PASS
Saha_2024_Fig3b_Subject1,10.500000,0.5,110.0731749,0.2984183016,PASS
Saha_2024_Fig3b_Subject1,10.750000,0.5,110.3857175,0.3062869461,PASS
Saha_2024_Fig3b_Subject1,11.000000,0.5,110.6908658,0.31396943,PASS
Saha_2024_Fig3b_Subject1,11.250000,0.5,110.9915292,0.3215390019,PASS
Saha_2024_Fig3b_Subject1,11.500000,0.5,111.2894723,0.3290400892,PASS
Saha_2024_Fig3b_Subject1,11.750000,0.5,111.5857656,0.3364996384,PASS
Saha_2024_Fig3b_Subject1,12.000000,0.5,111.8810582,0.3439339936,PASS
Saha_2024_Fig3b_Subject1,12.250000,0.5,112.1757439,0.3513530677,PASS
Saha_2024_Fig3b_Subject1,12.500000,0.5,112.4808817,0.3590352906,PASS
Saha_2024_Fig3b_Subject1,12.750000,0.5,112.7923593,0.3668771213,PASS
Saha_2024_Fig3b_Subject1,13.000000,0.5,113.1076819,0.3748157589,PASS
Saha_2024_Fig3b_Subject1,13.250000,0.5,113.4253368,0.382813113,PASS
Saha_2024_Fig3b_Subject1,13.500000,0.5,113.7444063,0.3908460803,PASS
Saha_2024_Fig3b_Subject1,13.750000,0.5,114.0643337,0.3989006482,PASS
Saha_2024_Fig3b_Subject1,14.000000,0.5,114.3847816,0.4069683176,PASS
Saha_2024_Fig3b_Subject1,14.250000,0.5,114.705545,0.4150439333,PASS
Saha_2024_Fig3b_Subject1,14.500000,0.5,115.0205979,0.4229757776,PASS
Saha_2024_Fig3b_Subject1,14.750000,0.5,115.3321871,0.4308204202,PASS
Saha_2024_Fig3b_Subject1,15.000000,0.5,115.6416755,0.4386121722,PASS
Saha_2024_Fig3b_Subject1,15.250000,0.5,115.9498897,0.4463718444,PASS
Saha_2024_Fig3b_Subject1,15.500000,0.5,116.257331,0.4541120594,PASS
Saha_2024_Fig3b_Subject1,15.750000,0.5,116.5643036,0.4618404728,PASS
Saha_2024_Fig3b_Subject1,16.000000,0.5,116.8709918,0.4695617283,PASS
Saha_2024_Fig3b_Subject1,16.250000,0.5,117.1775077,0.4772786423,PASS
Saha_2024_Fig3b_Subject1,16.500000,0.5,117.5158883,0.4857977917,PASS
Saha_2024_Fig3b_Subject1,16.750000,0.5,117.8735959,0.4948035215,PASS
Saha_2024_Fig3b_Subject1,17.000000,0.5,118.2430259,0.5041043771,PASS
Saha_2024_Fig3b_Subject1,17.250000,0.5,118.6195658,0.5135842357,PASS
Saha_2024_Fig3b_Subject1,17.500000,0.5,119.0004183,0.5231726651,PASS
Saha_2024_Fig3b_Subject1,17.750000,0.5,119.3838863,0.5328269459,PASS
Saha_2024_Fig3b_Subject1,18.000000,0.5,119.7689408,0.5425211677,PASS
Saha_2024_Fig3b_Subject1,18.250000,0.5,120.1549575,0.5522396149,PASS
Saha_2024_Fig3b_Subject1,18.500000,0.5,120.5253272,0.56156413,PASS
Saha_2024_Fig3b_Subject1,18.750000,0.5,120.8862066,0.570649713,PASS
Saha_2024_Fig3b_Subject1,19.000000,0.5,121.2413298,0.5795903766,PASS
Saha_2024_Fig3b_Subject1,19.250000,0.5,121.5929616,0.588443142,PASS
Saha_2024_Fig3b_Subject1,19.500000,0.5,121.9424758,0.5972425944,PASS
Saha_2024_Fig3b_Subject1,19.750000,0.5,122.2907057,0.6060097109,PASS
Saha_2024_Fig3b_Subject1,20.000000,0.5,122.6381566,0.6147572147,PASS
Saha_2024_Fig3b_Subject1,20.250000,0.5,122.9851349,0.6234928228,PASS
Saha_2024_Fig3b_Subject1,20.500000,0.5,123.3534675,0.63276605,PASS
Saha_2024_Fig3b_Subject1,20.750000,0.5,123.7347521,0.6423653595,PASS
Saha_2024_Fig3b_Subject1,21.000000,0.5,124.1238924,0.6521624481,PASS
Saha_2024_Fig3b_Subject1,21.250000,0.5,124.5177976,0.6620794957,PASS
Saha_2024_Fig3b_Subject1,21.500000,0.5,124.9145927,0.6720693022,PASS
Saha_2024_Fig3b_Subject1,21.750000,0.5,125.3131407,0.6821032391,PASS
Saha_2024_Fig3b_Subject1,22.000000,0.5,125.7127518,0.6921639425,PASS
Saha_2024_Fig3b_Subject1,22.250000,0.5,126.1130078,0.7022408805,PASS
Saha_2024_Fig3b_Subject1,22.500000,0.5,126.4920141,0.7117828313,PASS
Saha_2024_Fig3b_Subject1,22.750000,0.5,126.8581317,0.7210002958,PASS
Saha_2024_Fig3b_Subject1,23.000000,0.5,127.2164321,0.7300209494,PASS
Saha_2024_Fig3b_Subject1,23.250000,0.5,127.569991,0.7389222313,PASS
Saha_2024_Fig3b_Subject1,23.500000,0.5,127.9206741,0.7477511104,PASS
Saha_2024_Fig3b_Subject1,23.750000,0.5,128.2696129,0.7565360752,PASS
Saha_2024_Fig3b_Subject1,24.000000,0.5,128.6174937,0.7652944045,PASS
Saha_2024_Fig3b_Subject1,24.250000,0.5,128.9647329,0.7740365785,PASS
Saha_2024_Fig3b_Subject1,24.500000,0.5,129.3327318,0.7833014055,PASS
Saha_2024_Fig3b_Subject1,24.750000,0.5,129.7133222,0.7928832376,PASS
Saha_2024_Fig3b_Subject1,25.000000,0.5,130.1015497,0.8026573429,PASS
Saha_2024_Fig3b_Subject1,25.250000,0.5,130.4944093,0.8125480679,PASS
Saha_2024_Fig3b_Subject1,25.500000,0.5,130.8900784,0.8225095263,PASS
Saha_2024_Fig3b_Subject1,25.750000,0.5,131.2874516,0.8325138866,PASS
Saha_2024_Fig3b_Subject1,26.000000,0.5,131.6858583,0.8425442683,PASS
Saha_2024_Fig3b_Subject1,26.250000,0.5,132.084892,0.8525904327,PASS
Saha_2024_Fig3b_Subject1,26.500000,0.5,132.4847977,0.8626585525,PASS
Saha_2024_Fig3b_Subject1,26.750000,0.5,132.8852324,0.8727399888,PASS
Saha_2024_Fig3b_Subject1,27.000000,0.5,133.2859878,0.882829502,PASS
Saha_2024_Fig3b_Subject1,27.250000,0.5,133.6869379,0.8929239142,PASS
Saha_2024_Fig3b_Subject1,27.500000,0.5,134.0880059,0.9030212976,PASS
Saha_2024_Fig3b_Subject1,27.750000,0.5,134.4891456,0.9131204833,PASS
Saha_2024_Fig3b_Subject1,28.000000,0.5,134.8903287,0.923220762,PASS
Saha_2024_Fig3b_Subject1,28.250000,0.5,135.2915381,0.9333217038,PASS
Saha_2024_Fig3b_Subject1,28.500000,0.5,135.6347267,0.9419619014,PASS
Saha_2024_Fig3b_Subject1,28.750000,0.5,135.942724,0.949716113,PASS
Saha_2024_Fig3b_Subject1,29.000000,0.5,136.2293767,0.9569329469,PASS
Saha_2024_Fig3b_Subject1,29.250000,0.5,136.5030831,0.9638238447,PASS
Saha_2024_Fig3b_Subject1,29.500000,0.5,136.7689373,0.9705170523,PASS
Saha_2024_Fig3b_Subject1,29.750000,0.5,137.0300289,0.9770903547,PASS
Saha_2024_Fig3b_Subject1,30.000000,0.5,137.2882318,0.9835909309,PASS
Saha_2024_Fig3b_Subject1,30.250000,0.5,137.5446826,0.9900473965,PASS
Saha_2024_Fig3b_Subject1,30.500000,0.5,137.6948177,0.9938272323,PASS
Saha_2024_Fig3b_Subject1,30.750000,0.5,137.780469,0.99598361,PASS
Saha_2024_Fig3b_Subject1,31.000000,0.5,137.8270089,0.9971553107,PASS
Saha_2024_Fig3b_Subject1,31.250000,0.5,137.8498266,0.9977297745,PASS
Saha_2024_Fig3b_Subject1,31.500000,0.5,137.8582561,0.9979419959,PASS
Saha_2024_Fig3b_Subject1,31.750000,0.5,137.8579586,0.9979345062,PASS
Saha_2024_Fig3b_Subject1,32.000000,0.5,137.8523679,0.9977937548,PASS
Saha_2024_Fig3b_Subject1,32.250000,0.5,137.8435668,0.9975721763,PASS
Saha_2024_Fig3b_Subject1,32.500000,0.5,137.7487144,0.9951841498,PASS
Saha_2024_Fig3b_Subject1,32.750000,0.5,137.6016693,0.9914821063,PASS
Saha_2024_Fig3b_Subject1,33.000000,0.5,137.4229676,0.986983071,PASS
Saha_2024_Fig3b_Subject1,33.250000,0.5,137.2250653,0.9820006359,PASS
Saha_2024_Fig3b_Subject1,33.500000,0.5,137.0155172,0.976725004,PASS
Saha_2024_Fig3b_Subject1,33.750000,0.5,136.7989055,0.9712715391,PASS
Saha_2024_Fig3b_Subject1,34.000000,0.5,136.5780097,0.9657102132,PASS
Saha_2024_Fig3b_Subject1,34.250000,0.5,136.3545153,0.9600834663,PASS
Saha_2024_Fig3b_Subject1,34.500000,0.5,136.0881305,0.9533769014,PASS
Saha_2024_Fig3b_Subject1,34.750000,0.5,135.7957314,0.9460153939,PASS
Saha_2024_Fig3b_Subject1,35.000000,0.5,135.4875539,0.9382566437,PASS
Saha_2024_Fig3b_Subject1,35.250000,0.5,135.1698062,0.9302569535,PASS
Saha_2024_Fig3b_Subject1,35.500000,0.5,134.8462539,0.9221111258,PASS
Saha_2024_Fig3b_Subject1,35.750000,0.5,134.519181,0.9138766613,PASS
Saha_2024_Fig3b_Subject1,36.000000,0.5,134.1899727,0.9055884358,PASS
Saha_2024_Fig3b_Subject1,36.250000,0.5,133.8594692,0.8972676027,PASS
Saha_2024_Fig3b_Subject1,36.500000,0.5,133.5483454,0.8894346784,PASS
Saha_2024_Fig3b_Subject1,36.750000,0.5,133.2489761,0.8818976857,PASS
Saha_2024_Fig3b_Subject1,37.000000,0.5,132.9567361,0.8745401847,PASS
Saha_2024_Fig3b_Subject1,37.250000,0.5,132.6688204,0.8672915509,PASS
Saha_2024_Fig3b_Subject1,37.500000,0.5,132.3835274,0.8601089484,PASS
Saha_2024_Fig3b_Subject1,37.750000,0.5,132.0998252,0.8529663958,PASS
