grid,waveform_type,T_min,topology,tau_transport_min,tau_sensor_min,rtd_shape,amplitude_retention,NRMSE,pearson_r,feature_delay_min,feature_definition,aligned_amplitude_retention,aligned_NRMSE,aligned_pearson_r,pass_strict,strict_criterion
primary_1080,pulse,2.0,plug_flow,0.5,0.0,,1.0,0.0372550957208454,0.9155803553834327,0.5,peak time,1.0,5.55806705600844e-18,0.9999999999999999,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,0.5,1.0,,0.7435824389390074,0.07372666343606304,0.6217884551882494,1.2,peak time,0.7435824389390074,0.02300659632908335,0.977079321667247,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,0.5,2.0,,0.5478284481397855,0.08138945177106542,0.48773170445888203,1.45,peak time,0.5478284481397855,0.04166454346763686,0.91565708650978,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,0.5,5.0,,0.30415397679325423,0.08713387846278627,0.32235467668124534,1.8500000000000076,peak time,0.30415397679325423,0.06398332677498829,0.7634696421201391,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,1.0,0.0,,1.0,0.06998546802938145,0.7020880700383647,1.0,peak time,1.0,1.7003867716613783e-17,1.0,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,1.0,1.0,,0.7435824389390073,0.0924528771934868,0.39660051417794256,1.7,peak time,0.7435824389390073,0.023038822982125257,0.9770788570684792,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,1.0,2.0,,0.5478284481397855,0.09391162335772504,0.2961128661829853,1.95,peak time,0.5478284481397855,0.041722987238079226,0.9156554349843702,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,1.0,5.0,,0.30415397679325423,0.09335949944177444,0.1823504766182932,2.3500000000000076,peak time,0.30415397679325423,0.06407327947900684,0.7634665216765304,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,2.0,0.0,,1.0,0.11198798019207476,0.2371924620738898,2.0,peak time,1.0,2.2713877382584662e-17,0.9999999999999997,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
primary_1080,pulse,2.0,plug_flow,2.0,1.0,,0.7435824389390072,0.11306433108110553,0.09006950266211552,2.7,peak time,0.7435824389390072,0.0231036846616567,0.977077920143729,False,"illustrative: amp>=0.90; NRMSE<=0.10; r>=0.95; delay<=max(1 min, T/4)"
