source,trace_id,panel,source_group,time_min,signal,unit,x_uncertainty_min,y_uncertainty,strict_delay_limit_min,relaxed_delay_limit_min,source_url,processing
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,0.0,12.457,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,0.25,12.3095,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,0.5,12.162,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,0.75,11.9595,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,1.0,11.757,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,1.25,11.5175,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,1.5,11.278,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,1.75,11.130500000000001,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,2.0,10.983,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,2.25,10.946000000000002,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,2.5,10.909,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,2.75,10.909,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,3.0,10.909,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,3.25,10.946000000000002,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,3.5,10.983,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,3.75,10.909,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,4.0,10.835,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,4.25,10.577000000000002,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,4.5,10.319,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,4.75,10.0245,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,5.0,9.73,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,5.25,9.6745,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,5.5,9.619,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,5.75,9.6375,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,6.0,9.656,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,6.25,9.785,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,6.5,9.914,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,6.75,10.08,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.0,10.246,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.25,10.4115,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.5,10.577,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
Choi 2020,Choi_2020_B,B,Choi exercise chloride proxy,7.75,10.687999999999999,mM,0.344,0.5,2.0,5.0,https://doi.org/10.1038/s41598-020-64406-5,model input resampled to 0.25-min intervals by linear interpolation; values are not normalized
