source_group,waveforms_required,model_class,topology,sensor_tau_min,residual_fraction,strict_contiguous_max_min,relaxed_contiguous_max_min,strict_definition,relaxed_definition,evidence_level
Choi exercise chloride proxy,3,chrono_sampling,nonoverlap_window_hold,0.0,,1.0,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,cstr,0.0,,1.0,3.7,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,cstr,0.5,,0.75,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,cstr,1.0,,0.25,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,cstr,2.0,,,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,cstr,5.0,,,,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,gamma_rtd,0.0,,1.0,3.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,gamma_rtd,0.5,,0.75,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,gamma_rtd,1.0,,0.5,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,gamma_rtd,2.0,,,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,gamma_rtd,5.0,,,,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,plug,0.0,,1.0,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,plug,0.5,,0.75,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,plug,1.0,,0.5,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,plug,2.0,,,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,continuous,plug,5.0,,,,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,event_reset,fill_clear_hold,0.0,0.0,2.0,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,event_reset,fill_clear_hold,0.0,0.1,2.0,5.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Choi exercise chloride proxy,3,event_reset,fill_clear_hold,0.0,0.25,1.0,2.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,chrono_sampling,nonoverlap_window_hold,0.0,,2.0,5.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,continuous,cstr,0.0,,3.7,5.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,continuous,cstr,0.5,,3.0,5.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,continuous,cstr,1.0,,2.0,5.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,continuous,cstr,2.0,,1.0,3.7,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,continuous,cstr,5.0,,,1.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
Saha meal SBG proxy,4,continuous,gamma_rtd,0.0,,3.0,5.0,"all waveforms pass amp>=0.90, NRMSE<=0.10, r>=0.95 and source-specific delay limit","all waveforms pass amp>=0.80, NRMSE<=0.15, r>=0.90 and source-specific delay limit",MODEL_DERIVED_SENSITIVITY
