time_min,c_true,c_measured_device_A,c_measured_device_B,lod_au
0.00,0.300000,0.300000,0.300000,0.10
0.25,0.300000,0.300000,0.300000,0.10
0.50,0.300000,0.300000,0.300000,0.10
0.75,0.300000,0.300000,0.300000,0.10
1.00,0.300000,0.300000,0.300000,0.10
1.25,0.300000,0.300000,0.300000,0.10
1.50,0.300000,0.300000,0.300000,0.10
1.75,0.300000,0.300000,0.300000,0.10
2.00,0.300000,0.300000,0.300000,0.10
2.25,0.300000,0.300000,0.300000,0.10
2.50,0.300000,0.300000,0.300000,0.10
2.75,0.300000,0.300000,0.300000,0.10
3.00,0.300000,0.300000,0.300000,0.10
3.25,0.300000,0.300000,0.300000,0.10
3.50,0.300000,0.300000,0.300000,0.10
3.75,0.300000,0.300000,0.300000,0.10
4.00,0.300000,0.300000,0.300000,0.10
4.25,0.300000,0.300000,0.300000,0.10
4.50,0.300000,0.300000,0.300000,0.10
4.75,0.300000,0.300000,0.300000,0.10
5.00,0.300000,0.300000,0.300000,0.10
5.25,0.300000,0.300000,0.300000,0.10
5.50,0.300000,0.300000,0.300000,0.10
5.75,0.300000,0.300000,0.300000,0.10
6.00,0.300000,0.300000,0.300000,0.10
6.25,0.300000,0.300000,0.300000,0.10
6.50,0.300000,0.300000,0.300000,0.10
6.75,0.300000,0.300000,0.300000,0.10
7.00,0.300000,0.300000,0.300000,0.10
7.25,0.300000,0.300000,0.300000,0.10
7.50,0.300000,0.300000,0.300000,0.10
7.75,0.300000,0.300000,0.300000,0.10
8.00,0.300000,0.300000,0.300000,0.10
8.25,0.300000,0.300000,0.300000,0.10
8.50,0.300000,0.300000,0.300000,0.10
8.75,0.300000,0.300000,0.300000,0.10
9.00,0.300000,0.300000,0.300000,0.10
9.25,0.300000,0.300000,0.300000,0.10
9.50,0.300000,0.300000,0.300000,0.10
9.75,0.300000,0.300000,0.300000,0.10
10.00,0.300000,0.300000,0.300000,0.10
10.25,0.300000,0.300000,0.300000,0.10
10.50,0.300000,0.300000,0.300000,0.10
10.75,0.300000,0.300000,0.300000,0.10
11.00,0.300000,0.300000,0.300000,0.10
11.25,0.300000,0.300000,0.300000,0.10
11.50,0.300000,0.300000,0.300000,0.10
11.75,0.300000,0.300000,0.300000,0.10
12.00,0.300000,0.300000,0.300000,0.10
12.25,0.300000,0.300000,0.300000,0.10
12.50,0.300000,0.300000,0.300000,0.10
12.75,0.300000,0.300000,0.300000,0.10
13.00,0.300000,0.300000,0.300000,0.10
13.25,0.300000,0.300000,0.300000,0.10
13.50,0.300000,0.300000,0.300000,0.10
13.75,0.300000,0.300000,0.300000,0.10
14.00,0.300000,0.300000,0.300000,0.10
14.25,0.300000,0.300000,0.300000,0.10
14.50,0.300000,0.300000,0.300000,0.10
14.75,0.300000,0.300000,0.300000,0.10
15.00,0.300000,0.300000,0.300000,0.10
15.25,0.300000,0.300000,0.300000,0.10
15.50,0.300000,0.300000,0.300000,0.10
15.75,0.300000,0.300000,0.300000,0.10
16.00,0.300000,0.300000,0.300000,0.10
16.25,0.300001,0.300000,0.300000,0.10
16.50,0.300001,0.300000,0.300000,0.10
16.75,0.300001,0.300000,0.300000,0.10
17.00,0.300001,0.300000,0.300000,0.10
17.25,0.300001,0.300000,0.300000,0.10
17.50,0.300001,0.300000,0.300000,0.10
17.75,0.300001,0.300000,0.300000,0.10
18.00,0.300001,0.300000,0.300000,0.10
18.25,0.300001,0.300000,0.300000,0.10
18.50,0.300001,0.300000,0.300000,0.10
18.75,0.300001,0.300000,0.300000,0.10
19.00,0.300002,0.300001,0.300000,0.10
19.25,0.300002,0.300001,0.300000,0.10
19.50,0.300002,0.300001,0.300000,0.10
19.75,0.300002,0.300001,0.300000,0.10
20.00,0.300002,0.300001,0.300000,0.10
20.25,0.300003,0.300001,0.300000,0.10
20.50,0.300003,0.300001,0.300000,0.10
20.75,0.300003,0.300001,0.300000,0.10
21.00,0.300003,0.300001,0.300000,0.10
21.25,0.300004,0.300001,0.300000,0.10
21.50,0.300004,0.300001,0.300000,0.10
21.75,0.300005,0.300002,0.300000,0.10
22.00,0.300005,0.300002,0.300001,0.10
22.25,0.300006,0.300002,0.300001,0.10
22.50,0.300006,0.300002,0.300001,0.10
22.75,0.300007,0.300002,0.300001,0.10
23.00,0.300007,0.300003,0.300001,0.10
23.25,0.300008,0.300003,0.300001,0.10
23.50,0.300009,0.300003,0.300001,0.10
23.75,0.300010,0.300004,0.300001,0.10
24.00,0.300011,0.300004,0.300001,0.10
24.25,0.300012,0.300004,0.300001,0.10
24.50,0.300013,0.300005,0.300001,0.10
24.75,0.300014,0.300005,0.300001,0.10
25.00,0.300015,0.300006,0.300002,0.10
25.25,0.300017,0.300006,0.300002,0.10
25.50,0.300018,0.300007,0.300002,0.10
25.75,0.300020,0.300008,0.300002,0.10
26.00,0.300022,0.300008,0.300002,0.10
26.25,0.300024,0.300009,0.300003,0.10
26.50,0.300026,0.300010,0.300003,0.10
26.75,0.300029,0.300011,0.300003,0.10
27.00,0.300031,0.300012,0.300003,0.10
27.25,0.300034,0.300013,0.300004,0.10
27.50,0.300037,0.300014,0.300004,0.10
27.75,0.300041,0.300016,0.300005,0.10
28.00,0.300045,0.300017,0.300005,0.10
28.25,0.300049,0.300019,0.300005,0.10
28.50,0.300053,0.300021,0.300006,0.10
28.75,0.300058,0.300023,0.300007,0.10
29.00,0.300063,0.300025,0.300007,0.10
29.25,0.300068,0.300027,0.300008,0.10
29.50,0.300074,0.300029,0.300009,0.10
29.75,0.300081,0.300032,0.300009,0.10
30.00,0.300088,0.300035,0.300010,0.10
30.25,0.300095,0.300038,0.300011,0.10
30.50,0.300104,0.300042,0.300012,0.10
30.75,0.300112,0.300045,0.300013,0.10
31.00,0.300122,0.300049,0.300015,0.10
31.25,0.300132,0.300054,0.300016,0.10
31.50,0.300144,0.300059,0.300017,0.10
31.75,0.300156,0.300064,0.300019,0.10
32.00,0.300169,0.300069,0.300021,0.10
32.25,0.300183,0.300075,0.300022,0.10
32.50,0.300198,0.300082,0.300024,0.10
32.75,0.300214,0.300089,0.300026,0.10
33.00,0.300232,0.300097,0.300029,0.10
33.25,0.300250,0.300105,0.300031,0.10
33.50,0.300271,0.300114,0.300034,0.10
33.75,0.300293,0.300123,0.300037,0.10
34.00,0.300316,0.300134,0.300040,0.10
34.25,0.300341,0.300145,0.300043,0.10
34.50,0.300368,0.300157,0.300047,0.10
34.75,0.300398,0.300170,0.300051,0.10
35.00,0.300429,0.300184,0.300055,0.10
35.25,0.300462,0.300199,0.300060,0.10
35.50,0.300498,0.300216,0.300065,0.10
35.75,0.300537,0.300233,0.300070,0.10
36.00,0.300578,0.300252,0.300076,0.10
36.25,0.300622,0.300273,0.300082,0.10
36.50,0.300670,0.300294,0.300089,0.10
36.75,0.300721,0.300318,0.300096,0.10
37.00,0.300775,0.300343,0.300104,0.10
37.25,0.300833,0.300370,0.300113,0.10
37.50,0.300895,0.300399,0.300122,0.10
37.75,0.300961,0.300430,0.300131,0.10
38.00,0.301032,0.300464,0.300142,0.10
38.25,0.301107,0.300500,0.300153,0.10
38.50,0.301188,0.300538,0.300165,0.10
38.75,0.301274,0.300579,0.300178,0.10
39.00,0.301366,0.300623,0.300192,0.10
39.25,0.301464,0.300671,0.300207,0.10
39.50,0.301568,0.300721,0.300222,0.10
39.75,0.301679,0.300775,0.300239,0.10
40.00,0.301797,0.300833,0.300258,0.10
40.25,0.301922,0.300894,0.300277,0.10
40.50,0.302056,0.300960,0.300298,0.10
40.75,0.302198,0.301030,0.300320,0.10
41.00,0.302349,0.301105,0.300344,0.10
41.25,0.302510,0.301185,0.300370,0.10
