theta_min,E_per_min
0.00,0.000000
0.25,0.005810
0.50,0.020002
0.75,0.038736
1.00,0.059272
1.25,0.079712
1.50,0.098796
1.75,0.115742
2.00,0.130116
2.25,0.141740
2.50,0.150613
2.75,0.156857
3.00,0.160671
3.25,0.162299
3.50,0.162010
3.75,0.160075
4.00,0.156761
4.25,0.152318
4.50,0.146978
4.75,0.140952
5.00,0.134425
5.25,0.127560
5.50,0.120497
5.75,0.113356
6.00,0.106235
6.25,0.099215
6.50,0.092364
6.75,0.085731
7.00,0.079357
7.25,0.073269
7.50,0.067487
7.75,0.062024
8.00,0.056884
8.25,0.052068
8.50,0.047573
8.75,0.043390
9.00,0.039511
9.25,0.035923
9.50,0.032613
9.75,0.029567
10.00,0.026771
10.25,0.024208
10.50,0.021865
10.75,0.019726
11.00,0.017777
11.25,0.016004
11.50,0.014394
11.75,0.012934
12.00,0.011611
12.25,0.010414
12.50,0.009333
12.75,0.008358
13.00,0.007478
13.25,0.006687
13.50,0.005975
13.75,0.005335
14.00,0.004760
14.25,0.004245
14.50,0.003783
14.75,0.003369
15.00,0.002999
15.25,0.002668
15.50,0.002372
15.75,0.002108
16.00,0.001873
16.25,0.001662
16.50,0.001475
16.75,0.001309
17.00,0.001160
17.25,0.001028
17.50,0.000911
17.75,0.000806
18.00,0.000714
18.25,0.000632
18.50,0.000559
18.75,0.000494
19.00,0.000436
19.25,0.000386
19.50,0.000341
19.75,0.000301
20.00,0.000265
20.25,0.000234
20.50,0.000207
20.75,0.000182
21.00,0.000161
21.25,0.000142
21.50,0.000125
21.75,0.000110
22.00,0.000097
22.25,0.000085
22.50,0.000075
22.75,0.000066
23.00,0.000058
23.25,0.000051
23.50,0.000045
23.75,0.000039
24.00,0.000035
24.25,0.000030
24.50,0.000027
24.75,0.000024
25.00,0.000021
25.25,0.000018
25.50,0.000016
25.75,0.000014
26.00,0.000012
26.25,0.000011
26.50,0.000009
26.75,0.000008
27.00,0.000007
27.25,0.000006
27.50,0.000006
27.75,0.000005
28.00,0.000004
28.25,0.000004
28.50,0.000003
28.75,0.000003
29.00,0.000003
29.25,0.000002
29.50,0.000002
29.75,0.000002
30.00,0.000001
30.25,0.000001
30.50,0.000001
30.75,0.000001
31.00,0.000001
31.25,0.000001
31.50,0.000001
31.75,0.000001
32.00,0.000001
32.25,0.000000
32.50,0.000000
32.75,0.000000
33.00,0.000000
33.25,0.000000
33.50,0.000000
33.75,0.000000
34.00,0.000000
34.25,0.000000
34.50,0.000000
34.75,0.000000
35.00,0.000000
35.25,0.000000
35.50,0.000000
35.75,0.000000
36.00,0.000000
36.25,0.000000
36.50,0.000000
36.75,0.000000
37.00,0.000000
37.25,0.000000
37.50,0.000000
37.75,0.000000
38.00,0.000000
38.25,0.000000
38.50,0.000000
38.75,0.000000
39.00,0.000000
39.25,0.000000
39.50,0.000000
39.75,0.000000
40.00,0.000000
40.25,0.000000
40.50,0.000000
40.75,0.000000
41.00,0.000000
41.25,0.000000
41.50,0.000000
41.75,0.000000
42.00,0.000000
42.25,0.000000
42.50,0.000000
42.75,0.000000
43.00,0.000000
43.25,0.000000
43.50,0.000000
43.75,0.000000
44.00,0.000000
44.25,0.000000
44.50,0.000000
44.75,0.000000
45.00,0.000000
45.25,0.000000
45.50,0.000000
45.75,0.000000
46.00,0.000000
46.25,0.000000
46.50,0.000000
46.75,0.000000
47.00,0.000000
47.25,0.000000
47.50,0.000000
47.75,0.000000
48.00,0.000000
48.25,0.000000
48.50,0.000000
48.75,0.000000
49.00,0.000000
49.25,0.000000
49.50,0.000000
49.75,0.000000
50.00,0.000000
