time_min,C_in,S_A,S_B
0.00,0.000000,0.000000,0.000000
0.25,0.000000,0.000000,0.000000
0.50,0.000000,0.000000,0.000000
0.75,0.000000,0.000000,0.000000
1.00,0.000000,0.000000,0.000000
1.25,0.000000,0.000000,0.000000
1.50,0.000000,0.000000,0.000000
1.75,0.000000,0.000000,0.000000
2.00,0.000000,0.000000,0.000000
2.25,0.000000,0.000000,0.000000
2.50,0.000000,0.000000,0.000000
2.75,0.000000,0.000000,0.000000
3.00,0.000000,0.000000,0.000000
3.25,0.000000,0.000000,0.000000
3.50,0.000000,0.000000,0.000000
3.75,0.000000,0.000000,0.000000
4.00,0.000000,0.000000,0.000000
4.25,0.000000,0.000000,0.000000
4.50,0.000000,0.000000,0.000000
4.75,0.000000,0.000000,0.000000
5.00,0.000000,0.000000,0.000000
5.25,0.000000,0.000000,0.000000
5.50,0.000000,0.000000,0.000000
5.75,0.000000,0.000000,0.000000
6.00,0.000000,0.000000,0.000000
6.25,0.000000,0.000000,0.000000
6.50,0.000000,0.000000,0.000000
6.75,0.000000,0.000000,0.000000
7.00,0.000000,0.000000,0.000000
7.25,0.000000,0.000000,0.000000
7.50,0.000000,0.000000,0.000000
7.75,0.000000,0.000000,0.000000
8.00,0.000000,0.000000,0.000000
8.25,0.000000,0.000000,0.000000
8.50,0.000000,0.000000,0.000000
8.75,0.000000,0.000000,0.000000
9.00,0.000000,0.000000,0.000000
9.25,0.000000,0.000000,0.000000
9.50,0.000000,0.000000,0.000000
9.75,0.000000,0.000000,0.000000
10.00,0.000000,0.000000,0.000000
10.25,0.000000,0.000000,0.000000
10.50,0.000000,0.000000,0.000000
10.75,0.000000,0.000000,0.000000
11.00,0.000000,0.000000,0.000000
11.25,0.000000,0.000000,0.000000
11.50,0.000000,0.000000,0.000000
11.75,0.000000,0.000000,0.000000
12.00,0.000000,0.000000,0.000000
12.25,0.000000,0.000000,0.000000
12.50,0.000000,0.000000,0.000000
12.75,0.000000,0.000000,0.000000
13.00,0.000000,0.000000,0.000000
13.25,0.000000,0.000000,0.000000
13.50,0.000000,0.000000,0.000000
13.75,0.000000,0.000000,0.000000
14.00,0.000000,0.000000,0.000000
14.25,0.000000,0.000000,0.000000
14.50,0.000000,0.000000,0.000000
14.75,0.000000,0.000000,0.000000
15.00,0.000000,0.000000,0.000000
15.25,0.000000,0.000000,0.000000
15.50,0.000000,0.000000,0.000000
15.75,0.000000,0.000000,0.000000
16.00,0.000000,0.000000,0.000000
16.25,0.000000,0.000000,0.000000
16.50,0.000000,0.000000,0.000000
16.75,0.000000,0.000000,0.000000
17.00,0.000000,0.000000,0.000000
17.25,0.000000,0.000000,0.000000
17.50,0.000000,0.000000,0.000000
17.75,0.000000,0.000000,0.000000
18.00,0.000000,0.000000,0.000000
18.25,0.000000,0.000000,0.000000
18.50,0.000000,0.000000,0.000000
18.75,0.000000,0.000000,0.000000
19.00,0.000000,0.000000,0.000000
19.25,0.000000,0.000000,0.000000
19.50,0.000000,0.000000,0.000000
19.75,0.000000,0.000000,0.000000
20.00,0.000000,0.000000,0.000000
20.25,0.000000,0.000000,0.000000
20.50,0.000000,0.000000,0.000000
20.75,0.000000,0.000000,0.000000
21.00,0.000000,0.000000,0.000000
21.25,0.000000,0.000000,0.000000
21.50,0.000000,0.000000,0.000000
21.75,0.000000,0.000000,0.000000
22.00,0.000000,0.000000,0.000000
22.25,0.000000,0.000000,0.000000
22.50,0.000000,0.000000,0.000000
22.75,0.000000,0.000000,0.000000
23.00,0.000000,0.000000,0.000000
23.25,0.000000,0.000000,0.000000
23.50,0.000000,0.000000,0.000000
23.75,0.000000,0.000000,0.000000
24.00,0.000000,0.000000,0.000000
24.25,0.000000,0.000000,0.000000
24.50,0.000000,0.000000,0.000000
24.75,0.000000,0.000000,0.000000
25.00,0.000000,0.000000,0.000000
25.25,0.000000,0.000000,0.000000
25.50,0.000000,0.000000,0.000000
25.75,0.000000,0.000000,0.000000
26.00,0.000000,0.000000,0.000000
26.25,0.000000,0.000000,0.000000
26.50,0.000000,0.000000,0.000000
26.75,0.000000,0.000000,0.000000
27.00,0.000000,0.000000,0.000000
27.25,0.000000,0.000000,0.000000
27.50,0.000000,0.000000,0.000000
27.75,0.000000,0.000000,0.000000
28.00,0.000000,0.000000,0.000000
28.25,0.000000,0.000000,0.000000
28.50,0.000000,0.000000,0.000000
28.75,0.000000,0.000000,0.000000
29.00,0.000000,0.000000,0.000000
29.25,0.000000,0.000000,0.000000
29.50,0.000000,0.000000,0.000000
29.75,0.000000,0.000000,0.000000
30.00,0.000000,0.000000,0.000000
30.25,0.000000,0.000000,0.000000
30.50,0.000000,0.000000,0.000000
30.75,0.000000,0.000000,0.000000
31.00,0.000000,0.000000,0.000000
31.25,0.000000,0.000000,0.000000
31.50,0.000000,0.000000,0.000000
31.75,0.000000,0.000000,0.000000
32.00,0.000000,0.000000,0.000000
32.25,0.000000,0.000000,0.000000
32.50,0.000000,0.000000,0.000000
32.75,0.000000,0.000000,0.000000
33.00,0.000000,0.000000,0.000000
33.25,0.000000,0.000000,0.000000
33.50,0.000000,0.000000,0.000000
33.75,0.000000,0.000000,0.000000
34.00,0.000000,0.000000,0.000000
34.25,0.000000,0.000000,0.000000
34.50,0.000000,0.000000,0.000000
34.75,0.000000,0.000000,0.000000
35.00,0.000000,0.000000,0.000000
35.25,0.000000,0.000000,0.000000
35.50,0.000000,0.000000,0.000000
35.75,0.000000,0.000000,0.000000
36.00,0.000000,0.000000,0.000000
36.25,0.000000,0.000000,0.000000
36.50,0.000000,0.000000,0.000000
36.75,0.000000,0.000000,0.000000
37.00,0.000000,0.000000,0.000000
37.25,0.000000,0.000000,0.000000
37.50,0.000000,0.000000,0.000000
37.75,0.000000,0.000000,0.000000
38.00,0.000000,0.000000,0.000000
38.25,0.000000,0.000000,0.000000
38.50,0.000000,0.000000,0.000000
38.75,0.000000,0.000000,0.000000
39.00,0.000000,0.000000,0.000000
39.25,0.000000,0.000000,0.000000
39.50,0.000000,0.000000,0.000000
39.75,0.000000,0.000000,0.000000
40.00,0.000000,0.000000,0.000000
40.25,0.000001,0.000000,0.000000
40.50,0.000001,0.000000,0.000000
40.75,0.000001,0.000000,0.000000
41.00,0.000001,0.000000,0.000000
41.25,0.000002,0.000000,0.000000
41.50,0.000003,0.000000,0.000000
41.75,0.000004,0.000000,0.000000
42.00,0.000005,0.000000,0.000000
42.25,0.000007,0.000000,0.000000
42.50,0.000009,0.000001,0.000001
42.75,0.000012,0.000001,0.000001
43.00,0.000015,0.000001,0.000001
43.25,0.000020,0.000001,0.000001
43.50,0.000026,0.000002,0.000002
43.75,0.000034,0.000002,0.000002
44.00,0.000045,0.000003,0.000003
44.25,0.000058,0.000004,0.000004
44.50,0.000076,0.000005,0.000005
44.75,0.000097,0.000007,0.000007
45.00,0.000125,0.000009,0.000009
45.25,0.000161,0.000012,0.000012
45.50,0.000205,0.000016,0.000016
45.75,0.000261,0.000020,0.000020
46.00,0.000331,0.000026,0.000026
46.25,0.000418,0.000034,0.000034
46.50,0.000526,0.000043,0.000043
46.75,0.000661,0.000055,0.000055
47.00,0.000826,0.000071,0.000071
47.25,0.001029,0.000090,0.000090
47.50,0.001278,0.000114,0.000114
47.75,0.001582,0.000144,0.000144
48.00,0.001951,0.000181,0.000181
48.25,0.002398,0.000226,0.000226
48.50,0.002937,0.000283,0.000283
