time_min,c_in,through,wick
0.0,0.100014,0.100001,0.100000
0.5,0.100024,0.100002,0.100000
1.0,0.100040,0.100004,0.100001
1.5,0.100068,0.100008,0.100001
2.0,0.100113,0.100013,0.100002
2.5,0.100185,0.100022,0.100003
3.0,0.100298,0.100037,0.100005
3.5,0.100474,0.100062,0.100009
4.0,0.100743,0.100101,0.100015
4.5,0.101151,0.100163,0.100023
5.0,0.101756,0.100260,0.100037
5.5,0.102644,0.100409,0.100058
6.0,0.103925,0.100635,0.100090
6.5,0.105746,0.100971,0.100138
7.0,0.108298,0.101467,0.100209
7.5,0.111817,0.102187,0.100311
8.0,0.116598,0.103216,0.100457
8.5,0.122991,0.104669,0.100665
9.0,0.131408,0.106689,0.100954
9.5,0.142315,0.109458,0.101351
10.0,0.156226,0.113198,0.101891
10.5,0.173681,0.118179,0.102614
11.0,0.195226,0.124713,0.103570
11.5,0.221376,0.133159,0.104816
12.0,0.252577,0.143916,0.106420
12.5,0.289157,0.157410,0.108455
13.0,0.331278,0.174083,0.111004
13.5,0.378884,0.194366,0.114154
14.0,0.431660,0.218659,0.117996
14.5,0.488992,0.247292,0.122620
15.0,0.549952,0.280497,0.128110
15.5,0.613300,0.318365,0.134543
16.0,0.677502,0.360816,0.141982
16.5,0.740789,0.407567,0.150471
17.0,0.801221,0.458108,0.160030
17.5,0.856787,0.511695,0.170654
18.0,0.905509,0.567349,0.182306
18.5,0.945562,0.623877,0.194918
19.0,0.975386,0.679907,0.208389
19.5,0.993782,0.733942,0.222590
20.0,1.000000,0.784421,0.237362
20.5,0.993782,0.829797,0.252525
21.0,0.975386,0.868614,0.267883
21.5,0.945562,0.899590,0.283229
22.0,0.905509,0.921682,0.298355
22.5,0.856787,0.934151,0.313057
23.0,0.801221,0.936600,0.327145
23.5,0.740789,0.928998,0.340448
24.0,0.677502,0.911675,0.352817
24.5,0.613300,0.885301,0.364131
25.0,0.549952,0.850844,0.374299
25.5,0.488992,0.809510,0.383260
26.0,0.431660,0.762676,0.390982
26.5,0.378884,0.711809,0.397462
27.0,0.331278,0.658400,0.402720
27.5,0.289157,0.603887,0.406795
28.0,0.252577,0.549598,0.409747
28.5,0.221376,0.496705,0.411645
29.0,0.195226,0.446190,0.412568
29.5,0.173681,0.398824,0.412600
30.0,0.156226,0.355169,0.411827
30.5,0.142315,0.315581,0.410334
31.0,0.131408,0.280229,0.408203
31.5,0.122991,0.249119,0.405514
32.0,0.116598,0.222124,0.402338
32.5,0.111817,0.199015,0.398742
33.0,0.108298,0.179489,0.394787
33.5,0.105746,0.163196,0.390529
34.0,0.103925,0.149766,0.386015
34.5,0.102644,0.138826,0.381289
35.0,0.101756,0.130015,0.376390
35.5,0.101151,0.122996,0.371351
36.0,0.100743,0.117466,0.366202
36.5,0.100474,0.113153,0.360968
37.0,0.100298,0.109823,0.355674
37.5,0.100185,0.107278,0.350339
38.0,0.100113,0.105349,0.344980
38.5,0.100068,0.103902,0.339613
39.0,0.100040,0.102826,0.334251
39.5,0.100024,0.102032,0.328907
40.0,0.100014,0.101451,0.323591
40.5,0.100008,0.101030,0.318313
41.0,0.100004,0.100726,0.313079
41.5,0.100002,0.100509,0.307898
42.0,0.100001,0.100354,0.302775
42.5,0.100001,0.100245,0.297717
43.0,0.100000,0.100169,0.292726
43.5,0.100000,0.100116,0.287808
44.0,0.100000,0.100079,0.282966
44.5,0.100000,0.100054,0.278203
45.0,0.100000,0.100036,0.273521
45.5,0.100000,0.100024,0.268922
46.0,0.100000,0.100016,0.264408
46.5,0.100000,0.100011,0.259980
47.0,0.100000,0.100007,0.255639
47.5,0.100000,0.100005,0.251385
48.0,0.100000,0.100003,0.247220
48.5,0.100000,0.100002,0.243143
49.0,0.100000,0.100001,0.239155
49.5,0.100000,0.100001,0.235254
50.0,0.100000,0.100001,0.231442
50.5,0.100000,0.100000,0.227717
51.0,0.100000,0.100000,0.224078
51.5,0.100000,0.100000,0.220525
52.0,0.100000,0.100000,0.217058
52.5,0.100000,0.100000,0.213675
53.0,0.100001,0.100000,0.210374
53.5,0.100001,0.100000,0.207156
54.0,0.100003,0.100000,0.204019
54.5,0.100005,0.100000,0.200962
55.0,0.100008,0.100001,0.197982
55.5,0.100014,0.100001,0.195081
56.0,0.100025,0.100003,0.192255
56.5,0.100042,0.100005,0.189503
57.0,0.100069,0.100008,0.186825
57.5,0.100113,0.100014,0.184219
58.0,0.100182,0.100023,0.181684
58.5,0.100289,0.100038,0.179218
59.0,0.100454,0.100062,0.176821
59.5,0.100703,0.100100,0.174492
60.0,0.101073,0.100159,0.172231
60.5,0.101616,0.100250,0.170038
61.0,0.102398,0.100388,0.167912
61.5,0.103512,0.100594,0.165857
62.0,0.105071,0.100896,0.163875
62.5,0.107222,0.101336,0.161970
63.0,0.110143,0.101965,0.160148
63.5,0.114050,0.102853,0.158418
64.0,0.119194,0.104088,0.156792
64.5,0.125859,0.105780,0.155284
65.0,0.134360,0.108066,0.153914
65.5,0.145028,0.111109,0.152706
66.0,0.158194,0.115102,0.151688
66.5,0.174174,0.120264,0.150895
67.0,0.193241,0.126837,0.150366
67.5,0.215596,0.135084,0.150146
68.0,0.241336,0.145273,0.150283
68.5,0.270429,0.157668,0.150830
69.0,0.302681,0.172514,0.151842
69.5,0.337717,0.190012,0.153370
70.0,0.374971,0.210304,0.155468
70.5,0.413683,0.233445,0.158180
71.0,0.452918,0.259387,0.161543
71.5,0.491593,0.287957,0.165584
72.0,0.528524,0.318844,0.170315
72.5,0.562481,0.351591,0.175729
73.0,0.592255,0.385602,0.181805
73.5,0.616733,0.420147,0.188500
74.0,0.634958,0.454388,0.195751
74.5,0.646200,0.487409,0.203478
