theta_min,through,wick,fmc,chrono,accum
0.0,0.000000,0.000000,0.000000,0.000000,0.008330
0.5,0.075816,0.015791,0.000000,0.000000,0.008330
1.0,0.183940,0.021510,0.000000,0.000000,0.008330
1.5,0.251022,0.025374,0.000000,0.000000,0.008330
2.0,0.270671,0.028221,0.084159,0.000000,0.008330
2.5,0.256516,0.030391,0.084159,0.000000,0.008330
3.0,0.224042,0.032066,0.084159,0.000000,0.008330
3.5,0.184959,0.033361,0.084159,0.000000,0.008330
4.0,0.146525,0.034352,0.084159,0.000000,0.008330
4.5,0.112479,0.035094,0.084159,0.000000,0.008330
5.0,0.084224,0.035631,0.084159,0.000000,0.008330
5.5,0.061812,0.035995,0.084159,0.000000,0.008330
6.0,0.044618,0.036212,0.084159,0.000000,0.008330
6.5,0.031760,0.036303,0.084159,0.000000,0.008330
7.0,0.022341,0.036287,0.084159,0.000000,0.008330
7.5,0.015556,0.036178,0.084159,0.000000,0.008330
8.0,0.010735,0.035989,0.084159,0.000000,0.008330
8.5,0.007350,0.035732,0.084159,0.000000,0.008330
9.0,0.004998,0.035414,0.084159,0.000000,0.008330
9.5,0.003378,0.035046,0.084159,0.000000,0.008330
10.0,0.002270,0.034633,0.084159,0.000000,0.008330
10.5,0.001518,0.034182,0.084159,0.000000,0.008330
11.0,0.001010,0.033698,0.084159,0.000000,0.008330
11.5,0.000670,0.033188,0.084159,0.000000,0.008330
12.0,0.000442,0.032654,0.084159,0.000000,0.008330
12.5,0.000291,0.032100,0.000000,0.000000,0.008330
13.0,0.000191,0.031531,0.000000,0.000000,0.008330
13.5,0.000125,0.030949,0.000000,0.000000,0.008330
14.0,0.000081,0.030357,0.000000,0.000000,0.008330
14.5,0.000053,0.029757,0.000000,0.000000,0.008330
15.0,0.000034,0.029152,0.000000,0.000000,0.008330
15.5,0.000022,0.028543,0.000000,0.000000,0.008330
16.0,0.000014,0.027933,0.000000,0.000000,0.008330
16.5,0.000009,0.027322,0.000000,0.000000,0.008330
17.0,0.000006,0.026712,0.012624,0.000000,0.008330
17.5,0.000004,0.026104,0.012624,0.000000,0.008330
18.0,0.000002,0.025500,0.012624,0.000000,0.008330
18.5,0.000002,0.024901,0.012624,0.000000,0.008330
