tau_s_min,waveform,T_min,topology,strict_max_tau_f,strict_next_fail,binding_criterion,shape_max_tau_f,shape_next_fail
0.0,pulse,2.0,cstr,0.36809714,0.4048068,r,0.44517744,0.48957418
0.0,pulse,2.0,gamma_rtd,0.36809714,0.4048068,r,0.71607733,0.75
0.0,pulse,2.0,plug,0.36809714,0.4048068,r,15.0,
0.0,pulse,5.0,cstr,1.0,1.04737292,r,1.15182551,1.26669498
0.0,pulse,5.0,gamma_rtd,0.95239254,1.0,r,1.85273568,2.0
0.0,pulse,5.0,plug,0.8660254,0.95239254,r,15.0,
0.0,pulse,10.0,cstr,2.0,2.03750564,r,2.24070237,2.46416355
0.0,pulse,10.0,gamma_rtd,1.85273568,2.0,r,3.7,3.96365914
0.0,pulse,10.0,plug,1.68472147,1.85273568,r,15.0,
0.0,pulse,30.0,cstr,5.27172033,5.79745941,r,6.37562949,7.01145942
0.0,pulse,30.0,gamma_rtd,5.27172033,5.79745941,r,10.25533478,11.27808066
0.0,pulse,30.0,plug,5.0,5.27172033,r,15.0,
0.0,pulse,60.0,cstr,11.27808066,12.40282313,r,13.63973412,15.0
0.0,pulse,60.0,gamma_rtd,10.25533478,11.27808066,r,15.0,
0.0,pulse,60.0,plug,10.25533478,11.27808066,r,15.0,
0.0,ramp,2.0,cstr,1.15182551,1.26669498,delay,10.25533478,11.27808066
0.0,ramp,2.0,gamma_rtd,1.0,1.04737292,delay,15.0,
0.0,ramp,2.0,plug,1.0,1.04737292,delay,15.0,
0.0,ramp,5.0,cstr,1.26669498,1.39302016,delay,12.40282313,13.63973412
0.0,ramp,5.0,gamma_rtd,1.15182551,1.26669498,delay,15.0,
0.0,ramp,5.0,plug,1.15182551,1.26669498,delay,15.0,
0.0,ramp,10.0,cstr,2.46416355,2.70991009,delay,15.0,
0.0,ramp,10.0,gamma_rtd,2.46416355,2.70991009,delay,15.0,
0.0,ramp,10.0,plug,2.46416355,2.70991009,delay,15.0,
0.0,ramp,30.0,cstr,7.71069952,8.47967356,delay,15.0,
0.0,ramp,30.0,gamma_rtd,7.01145942,7.71069952,delay,15.0,
0.0,ramp,30.0,plug,7.01145942,7.71069952,delay,15.0,
0.0,ramp,60.0,cstr,15.0,,,15.0,
0.0,ramp,60.0,gamma_rtd,15.0,,,15.0,
0.0,ramp,60.0,plug,15.0,,,15.0,
0.0,sinusoid,2.0,cstr,0.0604701,0.06650068,NRMSE,0.14226855,0.15645673
0.0,sinusoid,2.0,gamma_rtd,0.08042606,0.0884468,NRMSE,0.25166396,0.27676195
0.0,sinusoid,2.0,plug,0.0884468,0.09726744,NRMSE,15.0,
0.0,sinusoid,5.0,cstr,0.1892191,0.20808957,NRMSE,0.36809714,0.4048068
0.0,sinusoid,5.0,gamma_rtd,0.20808957,0.22884197,NRMSE,0.59209203,0.65114029
0.0,sinusoid,5.0,plug,0.20808957,0.22884197,NRMSE,15.0,
0.0,sinusoid,10.0,cstr,0.4048068,0.44517744,NRMSE,0.75,0.78749042
0.0,sinusoid,10.0,gamma_rtd,0.44517744,0.48957418,NRMSE,1.26669498,1.39302016
0.0,sinusoid,10.0,plug,0.44517744,0.48957418,NRMSE,15.0,
0.0,sinusoid,30.0,cstr,1.26669498,1.39302016,NRMSE,2.24070237,2.46416355
0.0,sinusoid,30.0,gamma_rtd,1.26669498,1.39302016,NRMSE,3.7,3.96365914
0.0,sinusoid,30.0,plug,1.26669498,1.39302016,NRMSE,15.0,
0.0,sinusoid,60.0,cstr,2.70991009,2.9801645,NRMSE,4.35894766,4.79365758
0.0,sinusoid,60.0,gamma_rtd,2.70991009,2.9801645,NRMSE,7.71069952,8.47967356
0.0,sinusoid,60.0,plug,2.46416355,2.70991009,NRMSE,15.0,
1.0,pulse,2.0,cstr,,0.05,amplitude+r (at 0.05 min),,0.05
1.0,pulse,2.0,gamma_rtd,,0.05,amplitude+r (at 0.05 min),,0.05
1.0,pulse,2.0,plug,,0.05,amplitude+r (at 0.05 min),,0.05
1.0,pulse,5.0,cstr,,0.05,r (at 0.05 min),0.48957418,0.5
1.0,pulse,5.0,gamma_rtd,,0.05,r (at 0.05 min),0.78749042,0.8660254
1.0,pulse,5.0,plug,,0.05,r (at 0.05 min),15.0,
1.0,pulse,10.0,cstr,0.78749042,0.8660254,r,1.85273568,2.0
1.0,pulse,10.0,gamma_rtd,0.78749042,0.8660254,r,3.0,3.27737088
1.0,pulse,10.0,plug,0.78749042,0.8660254,r,15.0,
1.0,pulse,30.0,cstr,4.35894766,4.79365758,r,6.37562949,7.01145942
1.0,pulse,30.0,gamma_rtd,3.96365914,4.35894766,r,10.25533478,11.27808066
1.0,pulse,30.0,plug,3.96365914,4.35894766,r,15.0,
1.0,pulse,60.0,cstr,10.0,10.25533478,r,13.63973412,15.0
