class,group,cycle_min,f_res,n_traces,n_strict_pass,median_amp,median_nrmse,median_delay_min
fill-measure-clear,Choi,0.5,0.0,3,3,0.998748,0.011353,0.0
fill-measure-clear,Choi,0.5,0.1,3,3,0.996598,0.01363,0.0
fill-measure-clear,Choi,0.5,0.25,3,3,0.994156,0.018469,0.0
fill-measure-clear,Choi,1.0,0.0,3,3,0.997246,0.026256,0.0
fill-measure-clear,Choi,1.0,0.1,3,3,0.994042,0.030286,0.0
fill-measure-clear,Choi,1.0,0.25,3,3,0.985978,0.038754,0.5
fill-measure-clear,Choi,2.0,0.0,3,3,0.985732,0.056112,0.5
fill-measure-clear,Choi,2.0,0.1,3,3,0.976148,0.062056,0.5
fill-measure-clear,Choi,2.0,0.25,3,2,0.955721,0.075305,0.5
fill-measure-clear,Choi,5.0,0.0,3,0,0.974596,0.124658,-3.0
fill-measure-clear,Choi,5.0,0.1,3,0,0.948542,0.134975,2.0
fill-measure-clear,Choi,5.0,0.25,3,0,0.919581,0.155256,2.0
fill-measure-clear,Choi,10.0,0.0,3,0,0.955564,0.215487,-3.0
fill-measure-clear,Choi,10.0,0.1,3,0,0.918653,0.228916,-3.0
fill-measure-clear,Choi,10.0,0.25,3,0,0.827975,0.246468,7.0
fill-measure-clear,Saha,0.5,0.0,4,4,0.999757,0.003142,0.25
fill-measure-clear,Saha,0.5,0.1,4,4,0.9994864999999999,0.0038269999999999997,0.25
fill-measure-clear,Saha,0.5,0.25,4,4,0.998944,0.005298,0.5
fill-measure-clear,Saha,1.0,0.0,4,4,0.999757,0.007431,0.0
fill-measure-clear,Saha,1.0,0.1,4,4,0.9992125000000001,0.0088025,0.5
fill-measure-clear,Saha,1.0,0.25,4,4,0.998078,0.011711,1.0
fill-measure-clear,Saha,2.0,0.0,4,4,0.999757,0.015894,0.0
fill-measure-clear,Saha,2.0,0.1,4,4,0.9986085,0.018591000000000003,1.0
fill-measure-clear,Saha,2.0,0.25,4,4,0.9960089999999999,0.024252999999999997,1.0
fill-measure-clear,Saha,5.0,0.0,4,4,0.9966079999999999,0.0402695,-0.5
fill-measure-clear,Saha,5.0,0.1,4,4,0.990478,0.046709,-0.5
fill-measure-clear,Saha,5.0,0.25,4,4,0.9809635,0.0598985,1.5
fill-measure-clear,Saha,10.0,0.0,4,2,0.974878,0.0786925,-1.0
fill-measure-clear,Saha,10.0,0.1,4,3,0.9582615,0.0897445,2.0
fill-measure-clear,Saha,10.0,0.25,4,0,0.9420755000000001,0.1117865,4.0
chronological window,Choi,1.0,,3,3,0.99375,0.040549,0.5
chronological window,Choi,2.0,,3,2,0.971057,0.085691,1.0
chronological window,Choi,5.0,,3,0,0.907091,0.196366,2.0
chronological window,Choi,10.0,,3,0,0.838088,0.314575,7.0
chronological window,Choi,15.0,,3,0,0.740393,0.414361,8.5
chronological window,Saha,1.0,,4,4,0.9987885000000001,0.011644,0.5
chronological window,Saha,2.0,,4,4,0.997173,0.02661,1.0
chronological window,Saha,5.0,,4,3,0.9834,0.070384,4.0
chronological window,Saha,10.0,,4,0,0.9773575,0.1387795,6.0
chronological window,Saha,15.0,,4,0,0.952221,0.200128,8.5
